Time,Text,City,County,State
2022-04-11 21:19:04+00:00,b'Senator @BernieSanders talks about a #Starbucks Union and why it can afford it.\n\n#StarbucksWorkersUnited #Memes\xe2\x80\xa6 https://t.co/SPbbeOlYAK',Fontana,San Bernardino County,California,United States
2022-04-11 20:58:02+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/FPiiWyoc8F',,,,
2022-04-11 20:57:12+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/605AERXt5B',,,,
2022-04-11 18:59:17+00:00,b'This happens on Facebook as well as Linked-In...\n\n#currentaffairs #CurrentNews #CurrrentEvents #bernie2020\xe2\x80\xa6 https://t.co/kdYWtXUXpM',Los Angeles,Los Angeles County,California,United States
2022-04-11 18:56:36+00:00,b'West Virginian voters lead blockade of coal plant that made Manchin rich.\n\n#currentaffairs #CurrentNews\xe2\x80\xa6 https://t.co/ePO4uTBMMw',Los Angeles,Los Angeles County,California,United States
2022-04-11 18:54:03+00:00,"b'10 things you need to know today:  Monday, April 11, 2022.\n\n#currentaffairs #CurrentNews #CurrrentEvents\xe2\x80\xa6 https://t.co/wCN7oF74Fr'",Los Angeles,Los Angeles County,California,United States
2022-04-11 18:52:22+00:00,"b""Even with low unemployment, US workers are still 'being shafted'.\n\n#currentaffairs #bernie2020 #ProgressiveAlliance\xe2\x80\xa6 https://t.co/NBTSObz0bS""",Los Angeles,Los Angeles County,California,United States
2022-04-11 17:12:30+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/rjwg8kbpbx',,,,
2022-04-11 17:09:45+00:00,b'@ThiaBallerina I listened to #berniesanders and still voted for #joebiden. I new then that corporate Democrats can\xe2\x80\xa6 https://t.co/vV2NhXvtPb',,,,
2022-04-11 16:49:00+00:00,"b'Don\xe2\x80\x99t be fooled, there\xe2\x80\x99s an all out assault on #Biden/Dems!\nAnd it\xe2\x80\x99s from the fauxgressive media!\nEvery time Biden\xe2\x80\xa6 https://t.co/ndxEZueHBq'",,,,
2022-04-11 15:03:43+00:00,"b'(A little fun) #BernieSanders on ""Family Guy"" TV show https://t.co/4qXdX0GTJv'",,,,
2022-04-11 14:57:31+00:00,b'Fox News - 4/10/2022 - Mitch McConnel on extending student loan payment pause and responding to #BernieSanders and\xe2\x80\xa6 https://t.co/pFyubXcBPq',,,,
2022-04-11 12:56:40+00:00,"b'WE HAVE DEACTIVATED S-300 MISSILE SYSTEMS SUPPLIED TO UKRAINE BY EUROPEAN STATE, RUSSIA SAYS\xe2\x80\xa6 https://t.co/XKVAyjwf9Q'",,,,
2022-04-11 12:47:55+00:00,b'#BernieSanders should have been our president. https://t.co/QrckILrBfx',,,,
2022-04-11 12:27:08+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/Luuyflpb6U',,,,
2022-04-11 12:26:12+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/s1x7GEgeMz',,,,
2022-04-11 12:17:19+00:00,"b""#BernieSanders &amp; @SusanSarandon lunch date doesn't end well when he forgets his Diners Club card https://t.co/cfp0ObCRcx""",,,,
2022-04-11 11:13:56+00:00,b'Hitler was elected by populist vote\n#BernieSanders',,,,
2022-04-11 10:55:46+00:00,"b""Is this #America's #BolshevikRevolution? The #oppressed rising up against the #oppressors and #canceling voices the\xe2\x80\xa6 https://t.co/pzbMvhdvhC""",North Ridgeville,Lorain County,Ohio,United States
2022-04-11 10:55:09+00:00,"b""I'm in! I'll buy an #ElectricVehicle when:\n- They're less than $30,000\n- The government buys back my gas guzzling h\xe2\x80\xa6 https://t.co/iLum0anomZ""",North Ridgeville,Lorain County,Ohio,United States
2022-04-11 10:52:21+00:00,b'@fuchimokuroyuk1 Get angry #BernieSanders https://t.co/z9L5u4jixX',,,,
2022-04-11 02:53:48+00:00,b'The Next Revolution With Steve Hilton 4/10/22 | BREAKING https://t.co/EbXvH1lhzl via @StephenM #BidenCrimeFamilly\xe2\x80\xa6 https://t.co/iZ6WDdNABj',,,,
2022-04-11 02:46:50+00:00,b'@ClockworkJim @Stonekettle @muskrat_john Sadly it is reality that the vote for many offices comes down to two peopl\xe2\x80\xa6 https://t.co/GCGvOHwpeq',,,,
2022-04-11 02:19:56+00:00,b'I can\xe2\x80\x99t stop!\n\n#BernieSanders https://t.co/1meDqagQtl',,,,
