Time,Text,City,County,State
2022-04-11 12:22:14+00:00,b'Revisiting Hunter #Biden\xe2\x80\x99s Laptop -  https://t.co/gUjcjQsVCr #LaptopFromHell @MySonHunter',,,,
2022-04-11 12:22:13+00:00,b'It will be a great day (in Fantasy Land) when lawmakers care more about people they serve than their own power. Why\xe2\x80\xa6 https://t.co/6JbOvZOtAG',,,,
2022-04-11 12:21:33+00:00,b'@sunny_g9 @JackPosobiec AND THESE ARE WHO WORSHIP THE CCP \xf0\x9f\x91\x87\n #DNC #BIDEN #PELOSI #HARRIS #AOC #TRUDEAU #SINGH #NBA\xe2\x80\xa6 https://t.co/EXuCIz0Jax',,,,
2022-04-11 12:20:23+00:00,"b""#Biden \nhttps://t.co/NFW9DHzGuq\nFormer Clinton pollster: Biden has lost his 'likeability'\nMark Penn says pollsters\xe2\x80\xa6 https://t.co/320Nram3Cx""",Richmond,,Virginia,United States
2022-04-11 12:20:01+00:00,"b'#Biden is expected to make the announcement nominating Steve Dettlebach, who served as a U.S. attorney in Ohio from\xe2\x80\xa6 https://t.co/rnKFlxyIQX'",Denver,,Colorado,United States
2022-04-11 12:18:46+00:00,b'Omg my friend sead I have a big head an im a nigga #facebookdown #Biden #LGBTQ #SecureTheTribe #BlackLivesMatter\xe2\x80\xa6 https://t.co/Dby0jhQ7OX',,Polk County,Florida,United States
2022-04-11 12:18:40+00:00,"b""Actions (and laptops) speaker louder than words. #Biden's sister says Trump and his right-wing followers will do wh\xe2\x80\xa6 https://t.co/jATKlcJ923""",,,,
2022-04-11 12:17:46+00:00,b'#BidenBorderCrisis \n#Biden puts #AmericansLast. https://t.co/3g5nxY5hSE',,,,
2022-04-11 12:17:04+00:00,"b'""Something Is Up"": #REP. Jim #Jordan Suggests Hunter #Biden Indictment Could Be Coming https://t.co/jJjp4ztaem'",,,,
2022-04-11 12:16:14+00:00,"b""https://t.co/dfNRBftJsG\n\nIf your allergy to the #Truth has become the main source of income for politicians, don't\xe2\x80\xa6 https://t.co/S1femeRsy9""",,,,
2022-04-11 12:15:59+00:00,"b'""We don\'t know the motivation"". \xf0\x9f\xa4\x94 #Biden and our worthless FBI gaslight us that #WhiteSupremacist groups are our bi\xe2\x80\xa6 https://t.co/JN44wilFLd'",,,,
2022-04-11 12:15:51+00:00,b'#Boris gave the working class express tickets into poverty\n#Biden gave the working class express tickets into poverty.',,,,
2022-04-11 12:14:39+00:00,b'Basketball is racist because there is not enough white people #LGBTQ #Racist #white #racism #SecureTheTribe #BLM\xe2\x80\xa6 https://t.co/tNkREELl1Q',,Polk County,Florida,United States
2022-04-11 12:14:18+00:00,"b'Don\'t miss today\'s episode \xf0\x9f\x91\x87\n#mondaythoughts #Biden\n#crackerjill #GeorgeSoros\n#Trump #Bidenflation\nListening to ""BI\xe2\x80\xa6 https://t.co/OKWES2lJdF'",,,,
2022-04-11 12:13:39+00:00,b'#Biden Administration Releases Alleged Al-Qaida Member from #Guantanamo Bay to His Native Country  https://t.co/HRMMeNxo5p',,,,
2022-04-11 12:12:43+00:00,b'How long before they get citizenship &amp; voting rights? \n\nDem rule forever!!!\n\n#Title42 #BorderCrisis \n#Biden\xe2\x80\xa6 https://t.co/HmlRrf7WUt',,,,
2022-04-11 12:12:25+00:00,b'The same reason #Republicans flirted with Hitler in the American Bund and the first America First movement - the en\xe2\x80\xa6 https://t.co/zjpshWBdWl',Williamstown,Grant County,Kentucky,United States
2022-04-11 12:12:04+00:00,"b'#Biden To Announce New ""Ghost Gun"" Rules At\xc2\xa0Rose Garden Ceremony https://t.co/0vyG4z6mVz'",,,,
2022-04-11 12:11:59+00:00,b'#BidenBorderCrisis \n#Biden puts #AmericansLast. https://t.co/S1uLAffXZE',,,,
2022-04-11 12:11:44+00:00,b'@AliSahin501 @anadoluajansi Shahbaz Sharif is selected by #Biden @POTUS &amp; his local collaborators not by the Pakist\xe2\x80\xa6 https://t.co/J1zJRGx1gx',,,,
2022-04-11 12:10:36+00:00,b'Vote #SarahFowler In or Out at https://t.co/8DcwIEtHo8. Read this article and other news you missed. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 A well-info\xe2\x80\xa6 https://t.co/KlkuahQ4wD',,New York County,New York,United States
2022-04-11 12:09:42+00:00,"b'$54M in Chinese gifts donated to UPenn, home of Biden Center\n\nhttps://t.co/3QNaoAd6Wz\n\n&gt;&gt; #UPen laundering #Chinese\xe2\x80\xa6 https://t.co/j4Q4Tm9wCc'",,,,
2022-04-11 12:08:10+00:00,b'#Biden \nhttps://t.co/Zn9xD5AoqZ\nHALF of Americans blame rising gas prices on DEMOCRATS and their policies',Richmond,,Virginia,United States
2022-04-11 12:07:21+00:00,b'#biden must be #arrested. https://t.co/pnH6T4D5ye',,,,
2022-04-11 12:07:00+00:00,"b'The #Biden administration came out with its new #IndoPacific strategy just as things were going south in #Ukraine,\xe2\x80\xa6 https://t.co/eqdO0pUzKy'",,,,
2022-04-11 12:06:55+00:00,"b'Rule is, NOT to interrupt your enemy when they\xe2\x80\x99re making a mistake, #Biden was a colossal mistake, &amp; yet for reason\xe2\x80\xa6 https://t.co/4WM0zE4Zau'",,,,
2022-04-11 12:05:55+00:00,"b""https://t.co/1N8IXGewsO\n@ukcolumn Monday's news programme currently on air. Supporter-funded UK Column #UK #Ukraine\xe2\x80\xa6 https://t.co/ZPiMlzfmuT""",Brussels,Brussel-Hoofdstad - Bruxelles-Capitale,,België / Belgique / Belgien
2022-04-11 12:05:28+00:00,b'Finally #Biden has the balls to send troops to the #Ukraine #UkraineUnderAttack #StopRussia #StopPutinNOW https://t.co/97PkJxNxf7',,,,
2022-04-11 12:05:10+00:00,b'@AlexEconomics Can you call your senators &amp; ask them what they are doing to get #Biden #PublishERA?  \n\n#Hirono sits\xe2\x80\xa6 https://t.co/z6lXBAobT4',Darien,Fairfield County,Connecticut,United States
2022-04-11 12:05:10+00:00,b'Thanks @POTUS - more great news on the roaring economy!!! #Biden #economy #HappyDaysAreHereAgain https://t.co/OYkUcerD8F',Atlanta,Fulton County,,United States
2022-04-11 12:04:47+00:00,"b'The number of\xc2\xa0illegal border jumpers entering\xc2\xa0the U.S. is setting records, and those records will only increase in\xe2\x80\xa6 https://t.co/QxK4Be30HK'",Minneapolis,Hennepin County,Minnesota,United States
2022-04-11 12:02:59+00:00,b'The decision by the #Biden Administration to highlight the issue of #IAQ  confirms that the health &amp; safety of indo\xe2\x80\xa6 https://t.co/x0AclNuXFC',Philadelphia,Philadelphia County,,United States
2022-04-11 12:02:09+00:00,"b'Precisely, can we stop pretending that #Biden can handle inflation, supply side issues in any material way, can we\xe2\x80\xa6 https://t.co/ClGfPXOGXn'",,,,
2022-04-11 12:02:08+00:00,b'The Risk of #Nuclear War from the Russia-Ukraine conflict https://t.co/Rdyi86vKBJ #AngelaMerkel \n#peace\xe2\x80\xa6 https://t.co/8yBlRjjXOL',,,,
