Time,Text,City,County,State
2022-04-11 19:23:51+00:00,"b""Pennsylvania Senate candidate: 'What exactly have we gotten for our loya... https://t.co/HUeFQUVeYf via @YouTube Gr\xe2\x80\xa6 https://t.co/1fwc82Rkdi""",,,,
2022-04-11 19:22:40+00:00,"b'#Healthcare is a right, not a privilege. The Biden Administration released a proposed rule to fix the family glitch\xe2\x80\xa6 https://t.co/Cxqne0TcHC'",Lakewood,Ocean County,New Jersey,United States
2022-04-11 19:22:17+00:00,"b'Listen to Mia Tretta, who lived through a horrific event &amp; now uses her voice to save the lives of others\xe2\x80\xa6 https://t.co/vfsrWukMUi'",,,,
2022-04-11 19:17:01+00:00,"b'Tucker exclusive: Tony Bobulinski, ex-Hunter Biden associate, speaks out... https://t.co/YBJ7ijqW3F via @YouTube\xe2\x80\xa6 https://t.co/bxMoSoWYcN'",,,,
2022-04-11 18:51:05+00:00,b'This administration is working hard to help all Americans. \n#BidenHarris https://t.co/nZwC4lLQNJ',,,,
2022-04-11 18:44:42+00:00,b'#BidenHarris #Auspol #Biden \nHow would you rank The Worlds Most Dangerous Men ? https://t.co/wdvv1IBaK1',Victoria,,,Australia
2022-04-11 18:44:13+00:00,b'Ketanji Brown Jackson The New Supreme Court Justice\nhttps://t.co/IRuimrCt8Z\n#KetanjiBrownJackson\xe2\x80\xa6 https://t.co/gEUcqMjHHZ',,,,
2022-04-11 18:34:23+00:00,b'The Good Samaritan Who needs Lasting Help: A One-Woman Rescue Squad for #Homeless Students #Homelessness\xe2\x80\xa6 https://t.co/dhv36k1lbS',,,,
2022-04-11 18:30:12+00:00,b'#SCOTUS \n#KetanjiBrownJackson I\xe2\x80\x99m so glad she was confirmed\xe2\x9d\xa3\xef\xb8\x8f\n\n#VoteBlueIn2022 \n#BidenHarris\n#COVID19 \n#Ukraine https://t.co/teAKfA4Q5T',San Diego,San Diego County,California,United States
2022-04-11 18:03:15+00:00,"b""Good stuff. VP doesn't do stunts so when she promises to revisit it, it's in earnest.\n\nNo one has paid a dime on st\xe2\x80\xa6 https://t.co/9BStUrT2Hf""",,,,
2022-04-11 17:34:09+00:00,b'Money and resources wasted on illegals. #BidenHarris #FinishTheWall #BidenWorstPresidentEver #BidenBorderCrisis https://t.co/ymnuSt8391',,Torrance County,New Mexico,United States
2022-04-11 17:01:56+00:00,b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xba\xf0\x9f\x87\xb8@POTUS @JoeBiden  Meets Virtually with @PMOIndia  @narendramodi  https://t.co/SIYHAIx6sN #StandWithUkraine\xef\xb8\x8f\xe2\x80\xa6 https://t.co/XifCgVnE9x',,,,
2022-04-11 16:55:31+00:00,b'#Khive #VeepPeeps #BidenHarris #dogsoftwitter My elderly \xf0\x9f\x90\x95\xf0\x9f\xa6\xae and I are heading out into the streets of #Cleveland. T\xe2\x80\xa6 https://t.co/2FUlIzxGA3',Cleveland,Cuyahoga County,Ohio,United States
2022-04-11 16:39:15+00:00,"b'""Something Is Up"": Rep. Jim Jordan Suggests #HunterBiden Indictment Could Be Coming\n\nhttps://t.co/nSONKeTlhO \n\n$SPY\xe2\x80\xa6 https://t.co/pdXf4FaKTm'",Irvine,Orange County,California,United States
2022-04-11 16:06:47+00:00,b'The #BidenFamily scheme unravels https://t.co/dD5WY7YmEW via @nypost $SPY $DIA $QQQ $TLT $IEF $TYX $TNX $VIX $UVXY\xe2\x80\xa6 https://t.co/kRIFXlzxN2',Irvine,Orange County,California,United States
2022-04-11 15:46:24+00:00,"b'Biden\'s ""30X30"" land/water preservation plan is 15 months old but still lacks devilish details, further deepening d\xe2\x80\xa6 https://t.co/DeiVDMDBv0'",,Park County,Colorado,United States
2022-04-11 15:41:14+00:00,"b""I'm old enough to remember when @KamalaHarris helped with the bail fund that released rioters who burned Minneapoli\xe2\x80\xa6 https://t.co/W4aAn0i3t0""",,,,
2022-04-11 15:26:06+00:00,b'@Claudette966 #StrongerTogether2022 \n\xf0\x9f\x97\xb3 #VoteBlueToSaveAmerica \nSUPPORT\n#BidenHarris \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',Hollywood,Los Angeles County,,United States
2022-04-11 15:06:00+00:00,b'@POTUS You saying that they won\xe2\x80\x99t let me go to Ukraine.  That tells me you are not our president they are.   George\xe2\x80\xa6 https://t.co/kniY2Pv6Xf',Sulphur Springs,Hopkins County,Texas,United States
2022-04-11 14:48:23+00:00,"b""\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 MIDTERMS ARE COMING \n\nGet involved \xf0\x9f\x8c\x8a\n\nDemocracy is worth defending\nSee \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\n\nWhether you're a Democrat at home or\xe2\x80\xa6 https://t.co/oS6iasbQr4""",,,,
2022-04-11 14:25:37+00:00,b'We need to stop relying on foreign oil! It weakens our Country economically  and leaves us a vulnerable Nation!\xe2\x80\xa6 https://t.co/1gaA9NQXlY',,,,
2022-04-11 13:28:18+00:00,b'@MSNBC @JoyceWhiteVance #DemocratsDeliver #BidenHarris @POTUS stand for #DemocracyNotAutocracy',Omaha,Douglas County,Nebraska,United States
2022-04-11 12:58:24+00:00,b'MONDAY GET TOGETHER \xf0\x9f\xa5\xb3 #DemocracyMatters\n#IStandWithUkraine \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\nSAVE\n#Ukraine\xef\xb8\x8f \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 #Zelensky \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\n#HumanRightsForOromo\xe2\x80\xa6 https://t.co/5UsonFM2uN',,,,
2022-04-11 12:51:03+00:00,b'GOOD MORNING! Praying for Ukraine! #Peace #monday #UkraineUnderAttack #UkraineRussiaWar #StopWar\xe2\x80\xa6 https://t.co/b8AJzFu9ot',San Gabriel,Los Angeles County,California,United States
2022-04-11 12:50:04+00:00,b'#Trump is NOW the #Democrats\xe2\x80\x99 Secret Weapon?#Trumpcult #TrumpIsARussianAsset #TrumpCrimeFamilyForPrison\xe2\x80\xa6 https://t.co/UfiQK6NN9i',,,,
2022-04-11 12:19:38+00:00,b'Knowing I was part of the millions that made this happen gives me joy. Very proud of what #BidenHarris have been ab\xe2\x80\xa6 https://t.co/QMxWD1lyKR',,,,
2022-04-11 11:52:16+00:00,b'@GrandpaSnarky @AnneConlon16 @Huyapoy1313 @Annabel60043197 @3t3rn4l0ptimist @rcknrllmom @LisetteFahrun @AfroMindset\xe2\x80\xa6 https://t.co/Eqpi0OYxBo',,,,
2022-04-11 10:37:52+00:00,"b""@Blueliberals Good Morning Mikhail &amp; Friends I'm @presidentmanny &amp; I follow back. Looking forward to making new fri\xe2\x80\xa6 https://t.co/pZ6Wrl2wY5""",Boston,Suffolk County,Massachusetts,United States
2022-04-11 10:34:26+00:00,"b""@Blueliberals @MarsAscendant Good Morning Mikhail &amp; Friends I'm @presidentmanny &amp; I follow back. Looking forward to\xe2\x80\xa6 https://t.co/fVKeQ05qZz""",Boston,Suffolk County,Massachusetts,United States
2022-04-11 10:30:00+00:00,b'LIGHTNING SPEED ROUND \xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f\nMONDAY\xf0\x9f\x8c\x8a\n\xf0\x9f\x99\x8ffor \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\n\nREGISTER TO VOTE/GET VALID IDs\n\nVet/Make\xf0\x9f\x86\x92\xf0\x9f\x86\x95\xf0\x9f\x8c\x8aFriends\n\xf0\x9f\x92\x95\xf0\x9f\x94\x81\xf0\x9f\x90\xbe\xf0\x9f\x94\x99\xf0\x9f\x86\x92\xf0\x9f\x86\x95\xf0\x9f\x8c\x8a\xf0\x9f\x94\x9c\n\nNO LISTS/A\xe2\x80\xa6 https://t.co/5I6BX5zz8S',,,,
2022-04-11 10:09:57+00:00,b'USA Flag Golf Boxing Glove Head Cover #vote #bidenharris\nhttps://t.co/Q9uYaUP7HH https://t.co/60yP0sHM8X',,,,
2022-04-11 09:30:00+00:00,b'MOTIVATIONAL MONDAY\xf0\x9f\xa5\xb3\n\xf0\x9f\x99\x8f for \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\n\nMeet \xf0\x9f\x86\x92\xf0\x9f\x86\x95\xf0\x9f\x8c\x8a\nSave \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 &amp;\xf0\x9f\x8c\x8ddemocracies\n\n#Resistance\n#VoteBlue2022\n#NeverForgetJanuary6th\xe2\x80\xa6 https://t.co/WP98jsWJLr',,,,
2022-04-11 05:50:01+00:00,"b'We justify our hypocrisy convince ourselves rope God in clear our conscious so we can sleep@night\n\n""thou thoughtest\xe2\x80\xa6 https://t.co/wRDfU8z9Bz'",,,,
2022-04-11 05:17:51+00:00,"b'We are not only Hypocrites we want God to be a Hypocrite too we entrap God into joint enterprise \n\n""thou thoughtest\xe2\x80\xa6 https://t.co/7lFUsmoGyY'",,,,
2022-04-11 05:09:38+00:00,b'Whoso offereth praise glorifieth me: and to him that ordereth his conversation aright will I shew the salvation of\xe2\x80\xa6 https://t.co/ClNZY8tO88',,,,
2022-04-11 05:06:40+00:00,"b'Now consider this, ye that forget God, lest I tear you in pieces and there be none to deliver.\n\nPsalm 50:22\xe2\x80\xa6 https://t.co/QI1ORwJLxT'",,,,
2022-04-11 05:00:08+00:00,"b'These things hast thou done, and I kept silence; thou thoughtest that I was altogether such an one as thyself: but\xe2\x80\xa6 https://t.co/9rA2NOP6K3'",,,,
2022-04-11 04:09:56+00:00,b'the #bidenadmin is a dumpster fire.\n\n#biden #bidenharris #impeachbiden #impeach46 #bidenfailure #bidendisaster\xe2\x80\xa6 https://t.co/8bv6t06FJd',,,,
2022-04-11 03:58:22+00:00,"b'@USCISDirector @USCIS @DHSgov @SecMayorkas WHY IS US CIS POTAMAC SERVICE CENTER GRANTING MARRIAGE CASES, I 130 APPL\xe2\x80\xa6 https://t.co/9KPQJtskri'",,,,
2022-04-11 03:54:40+00:00,b'@SecMayorkas @USCISDirector @USCIS @SpoxUSCIS  SERVICE CENTERS r approving I130 applications for marriage cases w o\xe2\x80\xa6 https://t.co/g9gpredlLe',,,,
2022-04-11 03:54:33+00:00,b'If everyone on this platform who says they support #BidenHarris could stop bashing our party for not acting like th\xe2\x80\xa6 https://t.co/tBtdJKB8S0',,,District of Columbia,United States
2022-04-11 03:50:06+00:00,"b'@USCIS @USCISDirector is waving interviews for employment, marriage cases &amp; giving out green cards like candy, WHY\xe2\x80\xa6 https://t.co/CGvQq8iHKS'",,,,
2022-04-11 03:46:49+00:00,"b'@DHSgov @SecMayorkas @USCIS @USCISDirector is giving out green cards w out any INTERVIEWS, first biden opened borde\xe2\x80\xa6 https://t.co/KemcdUNURW'",,,,
2022-04-11 03:42:57+00:00,b'@USCISDirector @USCIS @SpoxUSCIS @USCISMediaNorth @WhiteHouse SO US CIS is granting marriage &amp; employment applicati\xe2\x80\xa6 https://t.co/iqQeteQpfB',,,,
2022-04-11 02:57:17+00:00,b'#Democrats #Republicans #America #People Struggling #GasPrices #Groceries! WEGot #Bills #Electricity #Rent\xe2\x80\xa6 https://t.co/k4QDIwESh7',,Logan County,Illinois,United States
2022-04-11 02:57:04+00:00,b'#Democrats #Republicans #America #People Struggling #GasPrices #Groceries! WEGot #Bills #Electricity #Rent\xe2\x80\xa6 https://t.co/mHO7TDajkH',,Logan County,Illinois,United States
2022-04-11 02:56:50+00:00,b'#Democrats #Republicans #America #People Struggling #GasPrices #Groceries! WEGot #Bills #Electricity #Rent\xe2\x80\xa6 https://t.co/DG8QSU2q6C',,Logan County,Illinois,United States
2022-04-11 02:56:33+00:00,b'#Democrats #Republicans #America #People Struggling #GasPrices #Groceries! WEGot #Bills #Electricity #Rent\xe2\x80\xa6 https://t.co/WW33yY3lgj',,Logan County,Illinois,United States
2022-04-11 02:56:20+00:00,b'#Democrats #Republicans #America #People Struggling #GasPrices #Groceries! WEGot #Bills #Electricity #Rent\xe2\x80\xa6 https://t.co/gFE9iUS9TU',,Logan County,Illinois,United States
2022-04-11 02:55:43+00:00,b'#Democrats #Republicans #America #People Struggling #GasPrices #Groceries! WEGot #Bills #Electricity #Rent\xe2\x80\xa6 https://t.co/LOjSddxW9z',,Logan County,Illinois,United States
2022-04-11 02:55:00+00:00,b'#Democrats #Republicans #America #People Struggling #GasPrices #Groceries! WEGot #Bills #Electricity #Rent\xe2\x80\xa6 https://t.co/kKbXMEaC38',,Logan County,Illinois,United States
2022-04-11 01:43:42+00:00,"b'\xe2\x80\x9cGiven #Putin\xe2\x80\x99s antipathy toward the West and his repeated denunciations of Ukraine, officials believe he may see t\xe2\x80\xa6 https://t.co/0s4YWDUzFX'",Earth,Lamb County,,United States
2022-04-11 01:39:04+00:00,b'America deserves better!. Any CEO will be fired for that performance. #Democrats failed #America. #Midterms\xe2\x80\xa6 https://t.co/4M2VibCd0v',Earth,Lamb County,,United States
2022-04-11 01:12:13+00:00,b'Meanwhile at the Legion of Doom...\n#joebiden #biden #kamalaharris #democrats #bidenharris #usa #america #democrat\xe2\x80\xa6 https://t.co/uOOYrUPtbe',,Park County,Colorado,United States
2022-04-11 01:05:06+00:00,b'When Joe SPENDS Your Money on EVERYONE but You.... https://t.co/rgLcRlP4tB via @YouTube #America #BidenBorderCrisis\xe2\x80\xa6 https://t.co/YI3GESlv8U',,,,
2022-04-11 01:05:04+00:00,b'Welcome to new follow \nJames Tate @JamesTate121\n\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Democrat #climatechange #Goodtrouble father of 3 wonderful kids\xe2\x80\xa6 https://t.co/qYtyYk2yu2',,,,
2022-04-11 00:44:08+00:00,"b'@StephenM \xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8@marklevinshow \xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8@FoxNews #OpenBorders 10,000+ A Day - 1 Small City A Day -Drugs \xe2\x98\xa0\xef\xb8\x8f\xe2\x80\xa6 https://t.co/QKRt96yNdv'",Boston,Suffolk County,Massachusetts,United States
2022-04-10 22:27:39+00:00,"b'This is a reminder \xf0\x9f\x93\xa3 ONLY surround yourself only by people who lift you up, and make you want to be the best versio\xe2\x80\xa6 https://t.co/leSrAQ7PgG'",Dallas,Dallas County,Texas,United States
2022-04-10 21:49:42+00:00,"b'Good Night, Bonne Nuit, Gute Nacht, Buona Notte #BidenHarris #Demoracy #StandWithUkraine #VoteBlueIn2022\xe2\x80\xa6 https://t.co/bFrhqQGF7F'",,,,
2022-04-10 21:43:40+00:00,b'Hey #KHive #VeepPeeps #BidenHarris! It\xe2\x80\x99s me again. \xe2\x98\xba\xef\xb8\x8f Hope y\xe2\x80\x99all remember me from 2020. I\xe2\x80\x99m in DEEP TROUBLE &amp; need\xe2\x80\xa6 https://t.co/gRW7jwshu1',Cleveland,Cuyahoga County,Ohio,United States
2022-04-10 21:33:59+00:00,"b""'Car Fits 4 Biden Rallies'\n\xf0\x9f\x98\x82 #Biden #BidenHarris\n#BidenRally\xf0\x9f\xa4\xa3\n\n#TrumpRally \xf0\x9f\x94\xa5\n#TrumpRallyNC\n\n#RINOsTheEnemyWithin\xe2\x80\xa6 https://t.co/dkhIPQ0dZA""",,,,
2022-04-10 21:05:51+00:00,b'@DrOz We did elect people who care. #BidenHarris',,,,
2022-04-10 20:53:49+00:00,"b""the #bidenadmin doesn't give a shit about anything anymore. the #bordercrisis, #covid19, the economy. just take the\xe2\x80\xa6 https://t.co/SLAVMUPJ1V""",,,,
