Time,Text,City,County,State
2022-04-11 14:53:45+00:00,b'@thehill @POTUS @VP @SpeakerPelosi @TheBlackCaucus Repair the damages this country has inflicted and still is infli\xe2\x80\xa6 https://t.co/3Ln2I6KYnO',,,,
2022-04-11 14:53:40+00:00,"b'@JHepatology @ebtapper @UREssien @NnekaUfereMD When my beloved was suffering with #cirrhosis, his dr @MedStarGUH ne\xe2\x80\xa6 https://t.co/QsBL4gzGEs'",,,District of Columbia,United States
2022-04-11 14:53:05+00:00,b'@EUinUG @_AfricanUnion #BlackLivesMatter \n\nIf human rights matters and if you have objectives then the world is wat\xe2\x80\xa6 https://t.co/kIQjOGd8dJ',,,,
2022-04-11 14:52:51+00:00,b'#ThisisNotJournalism #ThisIsAmerica @mercnews @SCCgov @kron4news @AP o\xe2\x80\x99well. @BeanzAndTuna time got another beautif\xe2\x80\xa6 https://t.co/Wf3SCxsSAU',,,,
2022-04-11 14:51:13+00:00,b'@thehill @POTUS @VP @SpeakerPelosi @TheBlackCaucus Repair the damages this country has inflicted and still is infli\xe2\x80\xa6 https://t.co/adqpGCBrDB',,,,
2022-04-11 14:50:49+00:00,b'@POTUS @POTUS @VP @SpeakerPelosi @TheBlackCaucus Repair the damages this country has inflicted and still is inflict\xe2\x80\xa6 https://t.co/E7RFTJTwmP',,,,
2022-04-11 14:50:06+00:00,b'Michigan State House: Help free shukur brown - Sign the Petition! https://t.co/drBsTJzIkV via @Change\xe2\x80\xa6 https://t.co/sRbgssizAM',,,,
2022-04-11 14:48:55+00:00,b'Good Morning\xe2\x80\xa6 Grand Rising! Happy Monday Y\xe2\x80\x99all! Have &amp; Make It A Great One! Stay Safe! \xf0\x9f\x98\x89\xf0\x9f\x98\x9a\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9c\x8c\xf0\x9f\x8f\xbe #GODIsGood\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xe2\x80\xa6 https://t.co/zhPq7gk1bb',,,,
2022-04-11 14:48:48+00:00,"b'Hey friends and colleagues,  here\'s the final chapter of my story ""A Game of Solitaire"" - it\'s a thrilling, crime s\xe2\x80\xa6 https://t.co/RNZJ4z6vwp'",Los Angeles,Los Angeles County,,United States
2022-04-11 14:46:57+00:00,"b'Kelly killed senzo.Proof or no proof,SAPS and Lawyers/Advocates are like those people who dance when you throw them\xe2\x80\xa6 https://t.co/y802xD24UN'",,,,
2022-04-11 14:46:10+00:00,b'Defund the Sheep Ranch Police #BlackLivesMatter #DefundThePolice',,,,
2022-04-11 14:43:45+00:00,"b'Shop the Spring Sale!\nBuy Now, Pay Later with\nSezzle or Klarna\xf0\x9f\xa4\x8e\xf0\x9f\xa4\x8e\xf0\x9f\xa4\x8e\nhttps://t.co/u6vYpmRmAv\n\n.\n.\n.\n.\n #springtime\xe2\x80\xa6 https://t.co/S6h4hSPY4y'",,,,
2022-04-11 14:43:15+00:00,b'Have you ever visited Africa and witness the beauty of masquerade she has.\n\nAfrica a mother to us all.\n#african\xe2\x80\xa6 https://t.co/7CQ2rgFBB2',,,,
2022-04-11 14:43:00+00:00,"b'Another violent #police #PoliceBrutality goes FREE....all under dementia joe, biden we are seeing all of them going\xe2\x80\xa6 https://t.co/ANihEG3n4i'",,,,
2022-04-11 14:42:07+00:00,"b""2. I find the international system to be so WHITE it always fails to relate to or feel empathy for black people's s\xe2\x80\xa6 https://t.co/xIpfnq0KwW""",,,,
2022-04-11 14:35:55+00:00,b'William Chapman Ii   #SayTheirNames #BlackLivesMatter',,,,
2022-04-11 14:35:45+00:00,b'#nftcollector #nftcommunity #nftartist #NFTwhale #WomenInNFTs #NFTartists #NFTdrop #NFTs #NFT #art\xe2\x80\xa6 https://t.co/1A8CTqS6jp',,,,
2022-04-11 14:35:00+00:00,b'#POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO\xe2\x80\xa6 https://t.co/T1D1FbtfnO',,,,
2022-04-11 14:33:25+00:00,"b'#BLM A #BlackLivesMatter supporting #Black #trans #woman who could be the next #GOLDMEDALIST recently got ""not""\xe2\x80\xa6 https://t.co/rpMSZ4IEiO'",,,,
2022-04-11 14:32:09+00:00,"b'Sat May 30 2020 Cleveland, Ohio - Protester shot in the eye with pellet round WATCH: https://t.co/euVN6uPv8E\xe2\x80\xa6 https://t.co/qDxyL78apT'",,,,
2022-04-11 14:31:16+00:00,"b""A routine traffic stop shouldn't be a death warrant. We're continuing to demand change today and every day in honor\xe2\x80\xa6 https://t.co/wNVos48uqJ""",,Comerío,Puerto Rico,United States
