Time,Text,City,County,State
2022-04-11 18:18:50+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/bevf43Dy5M'",Dallas,Dallas County,Texas,United States
2022-04-11 18:18:31+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/se7McWje60'",Dallas,Dallas County,Texas,United States
2022-04-11 18:18:10+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/QtyBRrjqAZ'",Dallas,Dallas County,Texas,United States
2022-04-11 18:17:07+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/t4Ay9JD515'",Dallas,Dallas County,Texas,United States
2022-04-11 18:17:01+00:00,b'@RepMTG  Anybody seen Will Smith ? We have a assignment for him. Start out by taking out the trash.  Well get back\xe2\x80\xa6 https://t.co/z6tVnMQBl4',,,,
2022-04-11 18:16:46+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/FRy1sM6jNs'",Dallas,Dallas County,Texas,United States
2022-04-11 18:16:14+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/T5wM6tLlhq'",Dallas,Dallas County,Texas,United States
2022-04-11 18:16:00+00:00,"b'@kettjbrown Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6 and\xe2\x80\xa6 https://t.co/X0QjkNvrLh'",,,,
2022-04-11 18:15:11+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/XgAbhzzO94'",Dallas,Dallas County,Texas,United States
2022-04-11 18:15:06+00:00,"b'@JacksonPropGrp Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6\xe2\x80\xa6 https://t.co/d4QinpLYHC'",,,,
2022-04-11 18:14:52+00:00,"b'@WwiRoss Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6 and, A\xe2\x80\xa6 https://t.co/wovtiAA6k0'",,,,
2022-04-11 18:14:44+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/dNjTcjLRng'",Dallas,Dallas County,Texas,United States
2022-04-11 18:14:41+00:00,"b'@AudiobooksL Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6 an\xe2\x80\xa6 https://t.co/e2LdQMqNmi'",,,,
2022-04-11 18:14:31+00:00,"b'@authorishness Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6\xe2\x80\xa6 https://t.co/qt5Hm9ns7x'",,,,
2022-04-11 18:14:23+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/BMRbw9fXwK'",Dallas,Dallas County,Texas,United States
2022-04-11 18:14:18+00:00,"b'@IndiaFinancials Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM\xe2\x80\xa6 https://t.co/uMslSgWcHO'",,,,
2022-04-11 18:14:04+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/x7ihhkWmm4'",Dallas,Dallas County,Texas,United States
2022-04-11 18:13:41+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/YywxJXZv9O'",Dallas,Dallas County,Texas,United States
2022-04-11 18:13:21+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/r0nkZvFnca'",Dallas,Dallas County,Texas,United States
2022-04-11 18:13:16+00:00,"b'@mreinekehgw Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6 an\xe2\x80\xa6 https://t.co/wZr0uWnCK1'",,,,
2022-04-11 18:13:03+00:00,"b'@laored2 Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6 and, A\xe2\x80\xa6 https://t.co/3pCEFzeaql'",,,,
2022-04-11 18:12:32+00:00,b'#TI Responds To Being Booed During His #Comedy #Set At The #BarclaysCenter :o https://t.co/KctCqlLCo4 via\xe2\x80\xa6 https://t.co/MFuuusPmmm',Dallas,Dallas County,Texas,United States
2022-04-11 18:12:27+00:00,b'Like this really gets under my skin\xe2\x80\xa6that\xe2\x80\x99s like having #BLM in your profile and showing up at a klan rally\n\n*scream\xe2\x80\xa6 https://t.co/514O885lTs',Alberta,Municipal District of Lesser Slave River,,Canada
2022-04-11 18:12:16+00:00,"b'@Sailor80s Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6 and,\xe2\x80\xa6 https://t.co/CX1xS9jATY'",,,,
2022-04-11 18:12:04+00:00,"b'@yogesh_sagitra_ Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM\xe2\x80\xa6 https://t.co/AWbi0bYCbA'",,,,
2022-04-11 18:11:48+00:00,"b'@AbhayaAgarwal Following you, fellow #resister #FBR \xe2\xac\x85\xef\xb8\x8f #GlobalWarmingIsReal, #FREEDOMTOVOTEACT, #LGBTQALLY, #BLM \xe2\x80\xa6\xe2\x80\xa6 https://t.co/5VFELrKC4b'",,,,
2022-04-11 18:11:12+00:00,b'@joncoopertweets Who cares? How about my #reparations? How about the exaggerated violence and institutional racism\xe2\x80\xa6 https://t.co/Zyan3zmZVa',Las Vegas,Clark County,Nevada,United States
2022-04-11 18:10:51+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/r1qSYbwgeW'",Dallas,Dallas County,Texas,United States
2022-04-11 18:10:37+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/3bh4ZvlMKN'",Dallas,Dallas County,Texas,United States
2022-04-11 18:10:35+00:00,b'No one wants the English version of this show? I\xe2\x80\x99m calling #racism #whiteprivilege #systemicracism\xe2\x80\xa6 https://t.co/v1EduPr2uj',Suffolk,Suffolk,,United Kingdom
2022-04-11 18:10:23+00:00,b'Why is the world watching while our family are suffering in #Tigray. To all my black Americans who are advocates of\xe2\x80\xa6 https://t.co/tdL5UgAjpR',,,,
2022-04-11 18:10:19+00:00,"b'A Milwaukee #BLM leader praised by the media for leading protests against police in 2020, was convicted on Friday o\xe2\x80\xa6 https://t.co/eNjyt3oMab'",,Centre County,Pennsylvania,United States
2022-04-11 18:09:10+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/vegfVf78XL'",Dallas,Dallas County,Texas,United States
2022-04-11 18:08:23+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/dV1fcqPOqs'",Dallas,Dallas County,Texas,United States
2022-04-11 18:08:06+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/kY8d9koXE1'",Dallas,Dallas County,Texas,United States
2022-04-11 18:07:45+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/2ej8PI2c2N'",Dallas,Dallas County,Texas,United States
2022-04-11 18:07:14+00:00,b'True Story... Real Rap... Corruption is deep in America and we need to shine a light on the Corruption in the crimi\xe2\x80\xa6 https://t.co/dR1hodGb3T',,Ocean County,New Jersey,United States
2022-04-11 18:07:00+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/o5FCJiFKxq'",Dallas,Dallas County,Texas,United States
2022-04-11 18:06:47+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/IpOFDYLIBb'",Dallas,Dallas County,Texas,United States
2022-04-11 18:06:33+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/YNnHX8Ib7n'",Dallas,Dallas County,Texas,United States
2022-04-11 18:06:15+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/kC032kyovS'",Dallas,Dallas County,Texas,United States
2022-04-11 18:04:55+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/0bCBw7WVKS'",Dallas,Dallas County,Texas,United States
2022-04-11 18:04:41+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/CBhCjS8khw'",Dallas,Dallas County,Texas,United States
2022-04-11 18:04:31+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM I\'ll take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/7OGgWA4l7Y'",Dallas,Dallas County,Texas,United States
2022-04-11 17:58:58+00:00,b'This freshman is racial talking about me and she called a monkey and told me to come back where I came from\xe2\x80\xa6 https://t.co/4vq2Bvg5jT',Phoenix,Maricopa County,Arizona,United States
2022-04-11 17:58:53+00:00,b'#BLM is back baby! They stopped buying mansion and are now threatening and harassing women and Black people. Moment\xe2\x80\xa6 https://t.co/ce9lqWDOXH',,,,
2022-04-11 17:57:48+00:00,"b'To Be Pro-Choice, You Must Have the Privilege of Having Choices     @nytimes\n\nhttps://t.co/WUctEHv5bn \n\n#prochoice\xe2\x80\xa6 https://t.co/4jb2eOnvGW'",,,,
2022-04-11 17:56:49+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/BW7IxuBv3p'",Dallas,Dallas County,Texas,United States
2022-04-11 17:56:33+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/S0wBrPZiLF'",Dallas,Dallas County,Texas,United States
2022-04-11 17:56:09+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/Xs8JtM6cA8'",Dallas,Dallas County,Texas,United States
2022-04-11 17:55:45+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/F3L8bN1iHs'",Dallas,Dallas County,Texas,United States
2022-04-11 17:54:57+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/lFrFy8CLbN'",Dallas,Dallas County,Texas,United States
2022-04-11 17:54:37+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/ArJeuu4NKe'",Dallas,Dallas County,Texas,United States
2022-04-11 17:53:27+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/UJk6sXkedU'",Dallas,Dallas County,Texas,United States
2022-04-11 17:53:15+00:00,"b'I do not know, yet, what it is like to walk in a room and not see someone who \xe2\x80\x9clooks like me.\xe2\x80\x9d When I attempt to im\xe2\x80\xa6 https://t.co/0WeDLl1T1N'",,,,
2022-04-11 17:53:10+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/x53wAFec4o'",Dallas,Dallas County,Texas,United States
2022-04-11 17:53:01+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/2cHJyCT0l0'",Dallas,Dallas County,Texas,United States
2022-04-11 17:52:51+00:00,"b'Steve Harvey: ""My show Ain\'t For WHITE FOLKS""!\nLike #BLM, I take their money.\n@Target @Oprah @TylerPerry @Disney\xe2\x80\xa6 https://t.co/M8bLWt4DrY'",Dallas,Dallas County,Texas,United States
2022-04-11 17:51:35+00:00,b'@RIRedmariantk @EaleyGregory Fetterman pointed a loaded gun at an unarmed Black man who had done nothing wrong. It\xe2\x80\xa6 https://t.co/62kkrJ0JtB',,,,
2022-04-11 17:50:41+00:00,"b'Too many people think you have to be angry or have ""hate in your heart"" to be racist. So incredibly not true. These\xe2\x80\xa6 https://t.co/TICse0mNNg'",,Mills County,Texas,United States
