Time,Text,City,County,State
2022-04-11 13:24:25+00:00,b'Why do Idiot #Conservative ministers keep saying that work is the route out of poverty? Do the #Tories never hear a\xe2\x80\xa6 https://t.co/FM20Pq4s0V',Ely,Cambridgeshire,,United Kingdom
2022-04-11 13:16:37+00:00,b'@HomeWorldof @QualityTime77 @tr6_guy @JeanCharest_ It feels like the #Conservative policy is criticism and insults.\xe2\x80\xa6 https://t.co/d7NtiULcyf',,,,
2022-04-11 13:13:22+00:00,b'Why are all of these news networks getting away with calling Judge Jackson a woman?\n\nTHEY AREN\xe2\x80\x99T BIOLOGISTS! They h\xe2\x80\xa6 https://t.co/zHjhhDj98G',Massapequa Park,Nassau County,New York,United States
2022-04-11 12:54:45+00:00,b'Why Trump supporting Oz? Is Oz really a conservative? Trump dangerously collecting people who will feign support fo\xe2\x80\xa6 https://t.co/M6HzVMIx5b',Wake Forest,Wake County,North Carolina,United States
2022-04-11 12:51:27+00:00,"b""If you are conservative you can't be my friend.\n\n#NFTCommuntiy #conservative https://t.co/QxIws1EBU8""",,,,
2022-04-11 12:30:25+00:00,b'@brianglenntv @KariLake Part 2 of Rush Limbaugh 2/9/17 of why #KariLake will being successful of becoming the next\xe2\x80\xa6 https://t.co/7gCupzXl68',,Polk County,Florida,United States
2022-04-11 12:28:52+00:00,"b'The jury took just minutes to #convict #AliHarbiAli, 26, of #stabbing to death the veteran #Conservative #MP at his\xe2\x80\xa6 https://t.co/HZBFjI03QQ'",,,,
2022-04-11 12:11:31+00:00,"b'@Anna_Soubry @ZelenskyyUa Clearly, somebody used an out of date emailing database that, unfortunately, still includ\xe2\x80\xa6 https://t.co/TXkGdClnlA'",England,Leicestershire,,United Kingdom
2022-04-11 12:03:24+00:00,b'@Munku1 @YvetteCooperMP @pritipatel Even the #Conservative party have sussed out the useless nasty #PritiPatel \n\xe2\x80\x9c-1\xe2\x80\xa6 https://t.co/N5Zl7LKyoL',,,,
2022-04-11 12:03:16+00:00,b'\xf0\x9f\x91\x89  \xf0\x9f\x91\x88\nSpeedo Womens Swimsuit One  Endurance+ Shirred Contourback Conservative Cut @buy1_best\n#Speedo #Womens\xe2\x80\xa6 https://t.co/MEawi31OsF',,New York County,New York,United States
2022-04-11 12:01:56+00:00,b'@BogeyTrain76 @melaniejoly And they have fixed the water situation in 131 communities in that time. I already said\xe2\x80\xa6 https://t.co/vliZBsWzAe',,,,
2022-04-11 12:00:02+00:00,b'What Sex is a Republican? takes a look at the political game from behind the curtain with one intention: to call on\xe2\x80\xa6 https://t.co/AolhjvwaFH',,,,
2022-04-11 11:59:46+00:00,b'@nationalpost This right leaning newspaper supports the #Conservative party of hate and projects their hate on ever\xe2\x80\xa6 https://t.co/s0Bcjvs0WN',,,,
2022-04-11 11:53:15+00:00,b'How can the #corrupt &amp; #unpatriotic #Republicans be the favorite for the #Midterms2022 when they defend #January6 i\xe2\x80\xa6 https://t.co/kvtilFpqfV',,Polk County,Florida,United States
2022-04-11 11:47:24+00:00,"b'@BorisJohnson visits a school &amp; wears a mask.\nNot I suspect asa show of common sense, but of necessity due to the f\xe2\x80\xa6 https://t.co/uFcVU81iUI'",,,,
2022-04-11 11:18:22+00:00,b'If a \xe2\x80\x9cwatchdog\xe2\x80\x9d was to clear @RishiSunak then said watchdog would be complicit in government corruption.\xe2\x80\xa6 https://t.co/69Mx0REKmj',,,,
2022-04-11 11:07:13+00:00,"b'The always beautiful @ainsleyearhardt looks especially sharp, professional and conservative in a blue pants suit th\xe2\x80\xa6 https://t.co/avUMTjgEP5'",,,,
2022-04-11 10:37:23+00:00,"b'While also making the #GOP conservative again, repair the damage from the last failed administration\xe2\x80\x99s responsive p\xe2\x80\xa6 https://t.co/6KpnkvZF03'",,,,
2022-04-11 09:49:50+00:00,b'#CostOfLivingCrisis \nWhy is #Conservative @huntsdc saying residents who get full rebate on council tax not eligible\xe2\x80\xa6 https://t.co/y7TtNWK339',,,,
2022-04-11 09:28:43+00:00,b'#Kushner $640 MILLION during #DonaldTrump SQUAT IN WH - $2 BILLION immediately following #Trump WH SQUAT to SELL OU\xe2\x80\xa6 https://t.co/RQ99j6B6PQ',,,,
2022-04-11 09:26:06+00:00,"b""@DrFrancesRyan I agree.\nIt's #Conservative policy. https://t.co/xug4MgnMFC""",,,,
2022-04-11 09:01:40+00:00,b'#Ukraine war is testing #evangelicals\xe2\x80\x99 love of #Putin as a #conservative hero | https://t.co/G0bUwy71Z8 https://t.co/68MyCFgYq7',,,,
2022-04-11 08:58:32+00:00,"b'Any #conservative member who supported the #Convoy is disqualified! Supporting #Hatred #Racism #Antisemitism , whil\xe2\x80\xa6 https://t.co/RkKgA90giK'",,,,
2022-04-11 08:52:38+00:00,"b""Just a friendly reminder from us #liberals that by and large when it comes to #pedophiles, they're found in @gop,\xe2\x80\xa6 https://t.co/qBUGFjaDFM""",,,,
2022-04-11 08:43:27+00:00,"b'If @RishiSunak and the #Conservative government are really interested in levelling up, why did he make a personal d\xe2\x80\xa6 https://t.co/6qIpeRPhDg'",,,,
2022-04-11 08:26:55+00:00,b'Many MPs at the top of the #conservative party i would like to tell you https://t.co/znEV4FAVRn',,,,
2022-04-11 08:22:46+00:00,b'People joined  #Conservative party thanks to our PM #BorisJohnson  - many not joined any political party before Bor\xe2\x80\xa6 https://t.co/VkxlJwGVDo',,,,
2022-04-11 08:15:49+00:00,"b""We've made progress over the years, most recently with investments in our local parks. I want to work with you to b\xe2\x80\xa6 https://t.co/Vx1XmJYkAJ""",England,Leicestershire,,United Kingdom
2022-04-11 08:04:34+00:00,"b'Great job by Tiger Woods in the Masters, a true champion! #trump #donaldtrump #republican #conservative #trump2024 #MAGA #KAG #usa #politics'",West Palm Beach,Palm Beach County,Florida,United States
2022-04-11 07:57:19+00:00,b'Theresa May.. Brexit hallelujah / the politician universal. (The Tory legacy since 2010) https://t.co/L7f4VtNwLh\xe2\x80\xa6 https://t.co/jCtHDn6aEn',,,,
2022-04-11 07:55:14+00:00,b'Are the #CONSERVATIVE finally coming home to roost yet?\n#ToryCriminalsUnfitToGovern \n#UnitedKingDUMB https://t.co/SvjjKYI7vP',,,,
2022-04-11 07:53:11+00:00,b'@arranangus I wonder if s/he will live long enough to discover that ultimately voting #LibDem is as bad as voting\xe2\x80\xa6 https://t.co/E1exLhdXvE',England,Leicestershire,,United Kingdom
2022-04-11 07:51:46+00:00,"b""Thank the Lordy we have non of our honest and loyal #CONSERVATIVE MP's mixed up with this #ToryRussianMoney eh?\nNo\xe2\x80\xa6 https://t.co/rm0KgcQ8C0""",,,,
2022-04-11 07:51:19+00:00,b'@AddictScrabble @RishiSunak @Conservatives \xe2\x80\x98Impartial\xe2\x80\x99 @BBCNews \xf0\x9f\x98\x82 going overboard with campaign to oust @RishiSunak\xe2\x80\xa6 https://t.co/0jjmEDZpNZ',,,,
2022-04-11 07:37:38+00:00,"b'@RebeccaHarrisMP despite 2 #conservative pledges (2015, 2019) to increase GP numbers by 5,000 and then 6,000, we st\xe2\x80\xa6 https://t.co/lEANQu11ZG'",,,,
2022-04-11 07:33:44+00:00,b'#talkradio sounding like the BBC/GMB this morning! the Labour Party are clueless about what the people of the UK ar\xe2\x80\xa6 https://t.co/4f858KmcFr',,,,
2022-04-11 07:32:08+00:00,"b'@KayBurley #No it is not appropriate for any non-Uk resident to be a government minister, an MP or sit in the house\xe2\x80\xa6 https://t.co/V0hUf6jxDU'",,,,
2022-04-11 07:29:59+00:00,b'.@matthewsyed\xe2\x80\x99s piece a depressing read\xe2\xac\x87\xef\xb8\x8f\n\nIt must be frustrating for the 1000s of #Conservative\xe2\x80\xa6 https://t.co/ccZ5WZWZMi',,,,
2022-04-11 07:18:45+00:00,b'Cost of living crisis\n#UK benefits plunge to lowest value in 50 years.\nreal terms cut to benefits and pensions\nDoes\xe2\x80\xa6 https://t.co/ntRiMrq8cL',,,,
2022-04-11 07:17:47+00:00,b'@AndrewRTDavies You keep making these absurd statements @AndrewRTDavies but provide no proof. Worst thing that coul\xe2\x80\xa6 https://t.co/H6Pbnng6Et',,,,
2022-04-11 07:17:07+00:00,b'Might have to rig this up and play it through my CCTV camera when I see #Conservative canvassers approaching \xf0\x9f\x98\x81 https://t.co/7F7rr34JAr',Somerset,Somerset,,United Kingdom
2022-04-11 07:16:00+00:00,b'#NHS #GP numbers in England down every year since #Conservative 2015 and #BorisJohnson 2019 pledge to raise them.\nW\xe2\x80\xa6 https://t.co/sGhJ2BwCZP',,,,
2022-04-11 07:11:57+00:00,b'Meanwhile..\n\n\xe2\x80\x9cAlmost 60% of oil and gas reserves and 90% of coal must remain in the ground to keep global warming b\xe2\x80\xa6 https://t.co/Z9hscs7gKN',,,,
2022-04-11 06:59:13+00:00,"b'@paullewismoney Paul, I trust you are not suggesting that there is a rancid stench of self interest overtaking the\xe2\x80\xa6 https://t.co/tYBV5Rhqz9'",,,,
2022-04-11 06:37:03+00:00,"b'@PoconoMtnGirl We work and pay our own way, we   don\xe2\x80\x99t expect handouts, and we don\xe2\x80\x99t blindly trust the government. #CONSERVATIVE'",,,,
2022-04-11 06:34:53+00:00,b'The #BBC was paid \xe2\x82\xac149m to support remain and be anti #Conservative as they administered the #Brexit vote https://t.co/WTLX4UZ4Yo',,,,
2022-04-11 06:25:01+00:00,"b""Uncle Don's #NewWorldOrder\n\n487 #pages #illustrated #comedy #shortstories \n\n#REBOOTS of Gilligan's Island &amp; I Dream\xe2\x80\xa6 https://t.co/LLulbcWUqP""",Ansonia,New Haven County,Connecticut,United States
2022-04-11 06:19:26+00:00,"b""@SkyNews George is having great difficulty 'polishing this turd'! #Conservative""",,,,
2022-04-11 06:15:37+00:00,"b""@JVRobil @PierrePoilievre I used to vote #CONSERVATIVE  never again especially not with him. It's become the party of trump.""",,,,
2022-04-11 05:41:15+00:00,"b""In the may local elections, get out and vote, but use your vote wisely. Don't vote #Conservative\nDon't vote #Labour\xe2\x80\xa6 https://t.co/Hl6nb2lczn""",England,Leicestershire,,United Kingdom
2022-04-11 05:31:24+00:00,"b""We started with nothing and our reward is more tax from someone who's never worked.\n#canpoli #Vancouver #Canada\xe2\x80\xa6 https://t.co/MfduljmOVp""",,,,
2022-04-11 04:31:06+00:00,"b""S.Korea's President-Elect Nominates Conservative Lawmaker As Finance Chief\n\nhttps://t.co/6fmPzSqQ01\n\n-\n-\n\n#news\xe2\x80\xa6 https://t.co/0TLwQ2Csbv""",,,,
2022-04-11 03:38:53+00:00,"b'04/11/22 edition of my daily two-minute talk radio feature where I discuss Trump\'s recent claim of being ""the most\xe2\x80\xa6 https://t.co/1S4jTbUWCw'",,,,
2022-04-11 03:33:08+00:00,b'#live #conservative #oregon #Governor What do you want in a Governor? https://t.co/WguwW8nuAe via @YouTube',,,,
2022-04-11 03:18:42+00:00,b'Campaign Update and some upcoming events!\nhttps://t.co/MtruO4OwEU\n#EricCarlsonForCongress #Illinois01 #Conservative',,,,
2022-04-11 03:02:48+00:00,"b'@Ianblackford_MP @RishiSunak Mr. Blackford, as usual you\xe2\x80\x99re candid and correct. \nMr. Sunak, the #Conservative Party\xe2\x80\xa6 https://t.co/M2SVdAQNlO'",,,,
2022-04-11 02:56:28+00:00,b'Momentum is something hard to put your finger on\xe2\x80\xa6..you can definitely feel and sense it when it\xe2\x80\x99s happening. \n\nVery\xe2\x80\xa6 https://t.co/Gzp7jxXVIw',Huntington Beach,Orange County,California,United States
2022-04-11 02:45:39+00:00,b'@ImAdam3434 @CPC_HQ @JeanCharest_ It would be nice to have a #Conservative party that actually wants to be constructive.',,,,
2022-04-11 02:45:09+00:00,b'@JolyonMaugham UK voters could be perceived as the most docile to govern. That\xe2\x80\x99s why the country attracts foreign i\xe2\x80\xa6 https://t.co/FY1wyAeSEH',,,,
2022-04-11 02:28:17+00:00,b'@fredpierson \xf0\x9f\x98\xb3WATCH \xf0\x9f\x98\xb3\nWatch as #DrOz promotes\ntransgenderism in children.\n\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\n\n https://t.co/yKheFgtu6y\xe2\x80\xa6 https://t.co/kMwE6wEB7M',,,,
2022-04-11 02:21:37+00:00,"b'@AP In a lot of ways, the \xe2\x80\x9ccentrist\xe2\x80\x9d agenda of the #NewWorldOrder that #Macron is a part of if a lot more \nrisky to\xe2\x80\xa6 https://t.co/z1hSH6zmSd'",,,,
2022-04-11 02:09:06+00:00,b'Photo By geralt | Pixabay \n #hands #toprotect #protection #conservation #pets&amp;animals #conservative #responsive\xe2\x80\xa6 https://t.co/OZOMX7zegm',Fresno,Fresno County,,United States
2022-04-11 02:09:00+00:00,b'Photo By geralt | Pixabay \n #hands #toprotect #protection #conservation #pets&amp;animals #conservative #responsive\xe2\x80\xa6 https://t.co/6g1nUdsAHU',Fresno,Fresno County,,United States
2022-04-11 02:00:27+00:00,"b'""A man taking estrogen is not a woman. A woman taking testosterone is not a man."" - @classicallyabby \n\n#cblwomen\xe2\x80\xa6 https://t.co/DKep8BkN9E'",Herndon,Fairfax County,Virginia,United States
2022-04-11 01:17:24+00:00,"b""#Bemidji see I do this.  Because we'll of the club @LordofLifeEdgew.  The creepy little #Conservative club.  I've l\xe2\x80\xa6 https://t.co/69NiCRwRfZ""",,,,
2022-04-11 00:58:33+00:00,b'Me and my great team at the United Inland Empire #CONSERVATIVE #summit! It was really interesting! Thanks @SebGorka\xe2\x80\xa6 https://t.co/jk3olwCm5y',Los Angeles,Los Angeles County,,United States
2022-04-11 00:32:49+00:00,b'@motocomms @PeeJayAitch @markstrahl Help me unseat and defend #Canada #Democracy by defeating the #Conservative #MP\xe2\x80\xa6 https://t.co/z9z0Xxd1Mx',,,,
2022-04-11 00:32:00+00:00,b'Neither Washington nor Brussels \xe2\x80\x93 Whole Text You can read https://t.co/PExf84JjqF #libertarian #conservative #ukpolitics #conservatives',England,Leicestershire,,United Kingdom
2022-04-11 00:17:45+00:00,"b""#RishiSunak is proving both that #BorisJohnson's #Conservative government is a cesspool of #corruption &amp; that simpl\xe2\x80\xa6 https://t.co/QKkjnlALu7""",,New York County,New York,United States
