Time,Text,City,County,State
2022-04-11 20:14:25+00:00,b'@RepMTG Where is #Kushner and his 2.64 billion and #Mnachin and his 1 billion #Saudi Arabia plus 650 million in coa\xe2\x80\xa6 https://t.co/b47fqHE0Im',,,,
2022-04-11 20:14:08+00:00,b'PEACE - MPTA inspires\n\nand makes you see why we all suffer.\nTime to grow up and stop all wars!\xe2\x80\xa6 https://t.co/EiVGfUFEeZ',,,,
2022-04-11 20:13:38+00:00,b'Unbelievable. Something straight from a failed soviet state #kleptocracy. Hard to believe our #democracy can allow\xe2\x80\xa6 https://t.co/t4dVoPRq7e',,,,
2022-04-11 20:11:46+00:00,b'Full story https://t.co/TljWmVykse \xf0\x9f\x9f\xaa\xf0\x9f\x9f\xaa#activism #activist #blackexcellence #congress #democracy #donaldtrumpjr\xe2\x80\xa6 https://t.co/kv7m6Kxmk3',Atlanta,Fulton County,Georgia,United States
2022-04-11 20:04:42+00:00,"b'Honored to stand with the legendary Xernona Clayton, a true champion for the people! #GAPol | #JacksonForGeorgia\xe2\x80\xa6 https://t.co/VRjW2TCJWW'",Atlanta,Fulton County,Georgia,United States
2022-04-11 20:04:33+00:00,b'@adilray And they work for us? #democracy  How@much longer are we going to put up with a failed system of government.  @openDemocracy',,,,
2022-04-11 20:03:36+00:00,"b""@lividlittleman @AOC @BernieSanders @POTUS @VP i actually understand the problems #America has and it's DEEPLY DEEP\xe2\x80\xa6 https://t.co/CaTHRNBgNY""",,,,
2022-04-11 20:00:00+00:00,"b'Post-Independence, Indian #democracy has ensured that even while there is a change of political leadership at the h\xe2\x80\xa6 https://t.co/w3p7MvVLWN'",,,,
2022-04-11 19:58:11+00:00,b'4 new Arab Women were assigned as judges into Israeli courts #Democracy  this is the truth about Israel \xf0\x9f\x87\xae\xf0\x9f\x87\xb1 #\xd8\xa5\xd8\xb3\xd8\xb1\xd8\xa7\xd8\xa6\xd9\x8a\xd9\x84\xe2\x80\xa6 https://t.co/vvAbAbuRa0',,,,
2022-04-11 19:56:55+00:00,"b""It's disgraceful that the child tax credit expired. We need the child tax credit. It was a good policy that cut pov\xe2\x80\xa6 https://t.co/Lg6O01oSFy""",,,,
2022-04-11 19:56:33+00:00,"b""Let's face the point: democracies are NOT the only political system at this pale blue dot. \n\nWhy do we think we mus\xe2\x80\xa6 https://t.co/sVXWNj6UAc""",,,,
2022-04-11 19:55:04+00:00,"b'""People should be empowered to be part of the decision-making process - no, scratch that, they should be at the hea\xe2\x80\xa6 https://t.co/uvMYbzj7lK'",Taos,Taos County,New Mexico,United States
2022-04-11 19:54:48+00:00,b'Want to stay in the know about energy democracy and ways you can take action? Join our email list!\xe2\x80\xa6 https://t.co/0M3RilXIoT',,,,
2022-04-11 19:52:00+00:00,"b'LETTER TO ""PEACE""\n\nor MPTA or any name given to the ""Undefinable Power"" of which Nature and Life are part.\xe2\x80\xa6 https://t.co/QWPDGpTCaT'",,,,
2022-04-11 19:49:32+00:00,"b""It's not a neutral stand by @narendramodi on #UkraineWar . @realPresPutin a bully deliberately broke international\xe2\x80\xa6 https://t.co/cqdsv0wfg1""",,,,
