Time,Text,City,County,State
2022-04-11 13:12:36+00:00,"b""Spoke to \n@EmmaNelsonMedia\n about #France's election run-off. Argued that Mr. #Macron has never lost an #election i\xe2\x80\xa6 https://t.co/eq6hSq8J1t""",,,,
2022-04-11 13:08:21+00:00,b'Early Voting begins in 2 Days! (April 13-28th)\n\nFor information on where you can early vote click on the link below\xe2\x80\xa6 https://t.co/u5WP9MraHL',Gallatin,Sumner County,Tennessee,United States
2022-04-11 12:58:29+00:00,"b""@Denny07155774 Interesting as #trump met secretly w Putin (tore up translator notes) went to 'extraordinary lengths\xe2\x80\xa6 https://t.co/r3mBYVUitg""",,,,
2022-04-11 12:57:34+00:00,b'My #article on #election reform\xe2\x80\x99s in #powercorridor #magazine https://t.co/yzswyAyUMJ',,,,
2022-04-11 12:51:21+00:00,b'Labor is going to have to work hard to win this #election.\nhttps://t.co/d9yaXT90kh #auspol',,,,
2022-04-11 12:49:17+00:00,"b""#Macron wins in the first round of #France's #Presidential #Election by 4%, ahead of Marine #LePen.""",,,,
2022-04-11 12:47:19+00:00,"b'Lawsuit challenges #Alaska disclosure rules, #election denier fined for voter fraud allegations, and more. See the\xe2\x80\xa6 https://t.co/7qcuaan0ci'",Akron,Summit County,Ohio,United States
2022-04-11 12:43:05+00:00,"b'Constituency Management Software for Election which is Time-saving, easy to use, Cost-Effective, and Classification\xe2\x80\xa6 https://t.co/9eD5JOqhM0'",,,,
2022-04-11 12:39:01+00:00,"b""it's not a democracy when the people vote for one person &amp; then a tyrant gets appointed by a smaller group of paid-\xe2\x80\xa6 https://t.co/sYBcPi4URQ""",,,,
2022-04-11 12:33:47+00:00,b'#ausvotes #AusVotes22 #auspol \n\n#ScottyFromPhotoOps is a pathological liar. \n\nLNP = incompetence corruption and cru\xe2\x80\xa6 https://t.co/qPF93AJw4y',,,,
2022-04-11 12:33:26+00:00,"b""Dubai's Philippines Consulate denies rumours of a pre-shaded ballot allegedly discovered by a voter.\n\nRead more:\xe2\x80\xa6 https://t.co/US9g7rYAaG""",,,,
2022-04-11 12:31:49+00:00,b'\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0 #Pakistan lawmakers on Monday elected Shehbaz #Sharif as the country\xe2\x80\x99s new prime minister following the weekend\xe2\x80\xa6 https://t.co/mXhT3QaovJ',,,,
2022-04-11 12:27:53+00:00,"b""I'm Honored To Join this Discussion #commish #Election https://t.co/O3ZMxyba2z""",Philadelphia,Philadelphia County,Pennsylvania,United States
2022-04-11 12:24:48+00:00,"b'HAPPY 63RD BIRTHDAY, ERSTWHILE ENUGU STATE GOVERNOR, BARRISTER SULLIVAN CHIME\nhttps://t.co/x2jj4qdWoj\n.\n#apc #pdp\xe2\x80\xa6 https://t.co/EN5j16kiZ4'",,,,
2022-04-11 12:23:14+00:00,b'Who is @AlanTudgeMP having an affair with now.  Just asking since he\xe2\x80\x99s still a Minister. Yes first minister in hist\xe2\x80\xa6 https://t.co/iOVa83YY6D',,,,
2022-04-11 12:23:05+00:00,b'THEN WHO TELLS THE TRUTH ? WHO NEVER KEEPS ANY PROMISES WHICH GIVEN BEFORE #ELECTION &amp; AFTER THAT PROMISES ARE PROV\xe2\x80\xa6 https://t.co/IB4KCrinx0',,,,
2022-04-11 12:22:49+00:00,"b"". Don't worry about the putrid snake oil selling from @samanthamaiden . She knows, all these wackos know Labour wil\xe2\x80\xa6 https://t.co/ijN0GIZ6un""",,,,
2022-04-11 12:20:24+00:00,b'#Emmanuel #Macron set to #face #Marine #Le #Pen in #French #presidential #election #runoff\n\nhttps://t.co/eZbPksUlnv',,,,
2022-04-11 12:19:18+00:00,b'#Australian #leader sets #general #election for May 21\n\nhttps://t.co/Psp8Pjwiuy',,,,
2022-04-11 12:14:56+00:00,b'French leader Emmanuel Macron and challenger Marine Le Pen qualified for what promises to be a very tightly fought\xe2\x80\xa6 https://t.co/XiPjfpv6ik',,,,
2022-04-11 12:12:22+00:00,"b""Emmanuel #Macron won 27.85 percent of #votes in the first round of France's presidential #election, while far-right\xe2\x80\xa6 https://t.co/hwrRGYAUt3""",Turkey,,,Türkiye
2022-04-11 12:12:04+00:00,b'#French #President Emmanuel #Macron  is set to face far right #candidate #MarineLePen  in the presidential run-off\xe2\x80\xa6 https://t.co/AHGesmTLGL',Morocco,cercle d'Amerzgane دائرة أمرزكان,,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
2022-04-11 12:05:51+00:00,b'Coming election will be held as per our will: Shahid Khaqan Abbasi \n#ShahidKhaqanAbbasi #election #will #PMLN\xe2\x80\xa6 https://t.co/XhOnDMQOH8',,,,
2022-04-11 12:05:22+00:00,b'The @PTIofficial  has decided to #boycott the #election of the new #PrimeMinister and resign en masse from the\xe2\x80\xa6 https://t.co/woXh81M5DA',,,,
2022-04-11 12:00:02+00:00,b'What Sex is a Republican? takes a look at the political game from behind the curtain with one intention: to call on\xe2\x80\xa6 https://t.co/AolhjvwaFH',,,,
2022-04-11 11:59:30+00:00,"b""@murpharoo @msmarto I'll take a bloke who is genuinely concerned about homeless flood and fire victims over someone\xe2\x80\xa6 https://t.co/TzhJjZ6FKq""",,,,
2022-04-11 11:54:59+00:00,"b""\xe2\x9a\xa0\xef\xb8\x8f This is the last day to elect the 12 members who will join the College of #IPPA! \xf0\x9f\x99\x8c As an individual member, don'\xe2\x80\xa6 https://t.co/2hBsTlRU4t""",,,,
2022-04-11 11:54:06+00:00,"b"".@RSDUK DROPS // #TrevorLucas 'Overlander'\n\nUltra-rare 1966 solo album by singer/songwriter #TrevorLucas of\xe2\x80\xa6 https://t.co/c3TPIbd99E""",London,,,United Kingdom
2022-04-11 11:47:07+00:00,b'#Pakistan\xe2\x80\x99s parliament is set to elect a new prime minister. Pakistan\xe2\x80\x99s former prime minister Imran Khan has tender\xe2\x80\xa6 https://t.co/8Z7CJW6XQT',,,,
2022-04-11 11:45:01+00:00,"b'The Briefing: @PhMarliere on the #French #election, @LyallGrant on @BorisJohnson and @ZelenskyyUa, @KarenMMiddleton\xe2\x80\xa6 https://t.co/xZGtq88HrA'",England,Leicestershire,,United Kingdom
2022-04-11 11:44:41+00:00,"b""All votes counted, Fidesz-KDNP take 135 of 199 seats in parl't #Hungary #Election #Politics\nhttps://t.co/giT5g3UdSl""",,,,
2022-04-11 11:39:16+00:00,b'An effective #Parliament begins with the #election of MPs who will be seen as true representatives of the people. T\xe2\x80\xa6 https://t.co/EfAsLY42VI',,,,
2022-04-11 11:26:12+00:00,"b""@jkalbrechtsen You're barking up a pretty bare tree. John Howard made a blunder on the same 'gotcha' questions hims\xe2\x80\xa6 https://t.co/QItQicNp59""",,,,
2022-04-11 11:24:05+00:00,b'What #inflation looks like from Fed.R.E.D. While #bidenadministration herds 80M #VotersLikeDemocracy #sheep\xe2\x80\xa6 https://t.co/jkQUBqMJar',Farmington,St. Francois County,Missouri,United States
2022-04-11 11:22:25+00:00,"b'A Union\xe2\x80\x99s membership count is a badge of honor. More importantly, in order to challenge the staffing issue head on,\xe2\x80\xa6 https://t.co/M2V6t7e54Z'",Queens,,New York,United States
2022-04-11 11:20:39+00:00,b'The Election Commission (EC) has directed the Madhav Kumar Nepal-led CPN (Unified Socialist) to file a reply within\xe2\x80\xa6 https://t.co/S3MsA1T8Oy',,,,
2022-04-11 11:19:28+00:00,b'My house is officially in #election mode #auspol #rebuildwithtafe #ausvotes #AusPol2022 #VoteThemOut https://t.co/GeQJEtwWez',Newcastle,Tyne and Wear,,United Kingdom
2022-04-11 11:15:41+00:00,b'#dawdle #biden pretending to #help #houseofrepresentatives #biden #election #democrats #gop #covid #democracy\xe2\x80\xa6 https://t.co/fvlgoc3R1R',Farmington,St. Francois County,Missouri,United States
2022-04-11 11:08:50+00:00,"b'80,000,000 #voters: 2020 4 #houseofrepresentatives #senators #bidenamerica #forthepeople #LetsGoBrandon\xe2\x80\xa6 https://t.co/Fm2rhO6xog'",Farmington,St. Francois County,Missouri,United States
2022-04-11 11:07:14+00:00,b'CAC 40 #index in #France is up nearly 0.7% after President #EmmanuelMacron won the first round of voting in Sunday\xe2\x80\x99\xe2\x80\xa6 https://t.co/Kd6LAqnEeB',,,,
2022-04-11 11:01:02+00:00,b'Gambian president\xe2\x80\x99s Party gets 19 seats in legislative vote \nRead More : https://t.co/UccHPsSEWM \n.\n#Politics\xe2\x80\xa6 https://t.co/E9jk4IJ6y0',,,,
2022-04-11 10:56:17+00:00,"b""@Stela_Todorovic They aren't important questions. Important questions are:\nWhat will ALP do to reduce our reliance\xe2\x80\xa6 https://t.co/SF3RdWAVsQ""",,,,
2022-04-11 10:53:49+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f That is the big #election issue. https://t.co/d7lfj1IV59',,,,
2022-04-11 10:52:18+00:00,b'So far we are running an #election where:\n*Only two parties are covered\n#ClimateEmergency preparedness not mentione\xe2\x80\xa6 https://t.co/8CTQmtrnAc',,,,
2022-04-11 10:46:23+00:00,b'@BoredApesSGB @LeslyDear19 @BoredApeSGB @BoredApeSGBclub #Election 2022 in the Philippines\n#Covid19 possible surge\xe2\x80\xa6 https://t.co/OTP7EsrchL',,,,
2022-04-11 10:45:39+00:00,b'Over 200 #MPs (both Lower House and Senate) pick clearance #certificates ahead of April 14 #swearing-in deadline. S\xe2\x80\xa6 https://t.co/UQmLP1xMD7',,,,
2022-04-11 10:45:32+00:00,b'Over 200 #MPs (both Lower House and Senate) pick clearance #certificates ahead of April 14 #swearing-in deadline. S\xe2\x80\xa6 https://t.co/cJtScxEnxE',,,,
2022-04-11 10:42:22+00:00,b'Mmmm now there is an idea. A March for #justice during the #election might be interesting as a circuit breaker. https://t.co/zA7qKattuX',,,,
2022-04-11 10:42:06+00:00,b'#Macron to face #LePen in French #election runoff https://t.co/jpL1N0N2eb via @AJEnglish #France',,,,
