Time,Text,City,County,State
2022-04-11 21:33:51+00:00,b'@okx Pay attention to our volume @wearecultdao. We\xe2\x80\x99re waiting @okx @Jay_OKX!!! #CULT #CultDao #CULTARMY #freedom \xf0\x9f\x8e\xad\xf0\x9f\x8e\xad\xe2\x80\xa6 https://t.co/ut4cXhsCDz',,,,
2022-04-11 21:30:20+00:00,"b'@HamidMirPAK #Kashmir #freedom \nKashmir we are sorry, international conspiracy to an illegal regime change has been\xe2\x80\xa6 https://t.co/toTIymdjtK'",,,,
2022-04-11 21:30:10+00:00,b'Nice place for camp for the night /// #hikingadventures #inspiration #nature #thruhike #camping #vegan #freedom\xe2\x80\xa6 https://t.co/4yd9RYyydk',Los Angeles,Los Angeles County,California,United States
2022-04-11 21:29:17+00:00,b'She is so clean! #neworleansmotorcycles #motorcycle #motodollz #streetglide #baggers #bikersofinstagram #bikergirl\xe2\x80\xa6 https://t.co/kmFG3H0VmT',New Orleans,Orleans Parish,Louisiana,United States
2022-04-11 21:29:03+00:00,"b'\xf0\x9f\x9a\xa8\xf0\x9f\x93\xb0We are now on TRUTH SOCIAL !!! \xf0\x9f\x98\x8e\xf0\x9f\x92\xa3\nFollow us on the new Social Media Platform TRUTH, look for our handle:\xe2\x80\xa6 https://t.co/gGOOIernRv'",Lakewood,Jefferson County,,United States
2022-04-11 21:28:11+00:00,"b'""Grace upon you to share truth where they can take it"" - Barry Wunsch\n\nEpisode 6: Part 2 of Igniting Destiny is now\xe2\x80\xa6 https://t.co/GXE8s37d9c'",,,,
2022-04-11 21:25:10+00:00,"b'@AurelienNaoned @UDB__ https://t.co/ew7JPJ9xpQ \xe2\x80\xa6\nFollowing these decisions, the next PETI Committee meeting will ta\xe2\x80\xa6 https://t.co/tVVKI83st5'",,,,
2022-04-11 21:22:00+00:00,"b'\xf0\x9f\x9a\xa8 Poll Alert! \xf0\x9f\x9a\xa8\n\nOn a scale of 1-10, where do you rank New York on the freedom scale? Share your thoughts with us b\xe2\x80\xa6 https://t.co/6kuZUPX8yQ'",Amityville,Suffolk County,New York,United States
2022-04-11 21:21:15+00:00,"b""The team @_birdmoney knows how to #Seize the #Memes of #Production! They're pioneering the prime #Tokenomics scheme\xe2\x80\xa6 https://t.co/YQgqVSUM4n""",Salt Lake City,Salt Lake County,,United States
2022-04-11 21:21:11+00:00,"b'A suggestion for #Conservatives, #RightWing supporters and @PierrePoilievre ...  \n\n#cdnpoli  #Freedom\xe2\x80\xa6 https://t.co/YquDGJyrw0'",Hamilton,,,Canada
2022-04-11 21:19:35+00:00,"b'https://t.co/ew7JPJ9xpQ\nFollowing these decisions, the next PETI Committee meeting will take place on:\nWednesday 20\xe2\x80\xa6 https://t.co/GO7x7T9VF8'",,,,
2022-04-11 21:19:18+00:00,"b'Unfortunately for those who born #slaves,""there isn\'t any shackles to break."" They won\'t just remain indefinitely\xe2\x80\xa6 https://t.co/SgicbqIkTJ'",,,,
2022-04-11 21:18:12+00:00,"b""When it's rain look for rainbow, When it's dark look for star \xf0\x9f\x8c\xa7\xef\xb8\x8f\xf0\x9f\x92\xa6 #freedom #lifestyle #fancystyle https://t.co/lZGwCyM2be""",,,,
2022-04-11 21:18:03+00:00,b'This is the end of #Democracy.  No more #Freedom. Getting rid of stability. Gravitas: The growing challenges in Ind\xe2\x80\xa6 https://t.co/SzwzKPcA5h',,,,
2022-04-11 21:18:01+00:00,"b'YouTube comment: euilletoniste #freedom \n""Such a delightful song in so many ways, but it\xe2\x80\x99s especially fabulous to h\xe2\x80\xa6 https://t.co/AUXe6N0qBR'",,,,
2022-04-11 21:17:57+00:00,"b""I am only one man with a million ideas and a billionaire's goal. How will I get there with cuffed fist and shackled\xe2\x80\xa6 https://t.co/GVZH5ncc5e""",,Ocean County,New Jersey,United States
2022-04-11 21:15:08+00:00,b'@combate_liberal \xf0\x9f\x9b\x91 WANTED \xf0\x9f\x9b\x91\n\nFOR THE CRIME OF GENOCIDE AND AGAINST HUMANITY\n\nREWARD \xe2\x9e\xa1\xef\xb8\x8f #FREEDOM\n\n#AntiPassVaccinal\xe2\x80\xa6 https://t.co/uZY564WKyi',,,,
2022-04-11 21:15:02+00:00,b'#EvanS @sevans1974 returns to #MusicLov3rz April #NewSingle #Freedom March 18th!\nhttps://t.co/cecGtFCbKw\xe2\x80\xa6 https://t.co/TamuM9OBiK',,,,
2022-04-11 21:12:47+00:00,"b'Rewatching all the Resident Evil movies\n\nI forgot how perfect Sienna Guillory nailed my favorite character, S.T.A.R\xe2\x80\xa6 https://t.co/eciudpLccn'",,Mills County,Texas,United States
2022-04-11 21:11:34+00:00,"b'@AliceBota Can we, just for now and at least for as long as it takes for #Ukraine to #defeatRussia stop #reacting t\xe2\x80\xa6 https://t.co/8UjqxV3Kbw'",,,,
2022-04-11 21:10:46+00:00,"b""Great value on Algorand by Choice Coin DAO. Don't miss the vote. #freedom #choicecoindao #Algorand #Governance\xe2\x80\xa6 https://t.co/Fvy5vbwH7k""",,,,
2022-04-11 21:09:58+00:00,b'@GovAbbott We already have laws against providing pornography to minors. You are making up an issue for your own po\xe2\x80\xa6 https://t.co/27euooHXxU',,,,
2022-04-11 21:09:24+00:00,"b'#flamingos #readers #summer #summersolstice  #NEW #picturebook #books4kids #happiness  #freedom #fly\n\n""There is fre\xe2\x80\xa6 https://t.co/bOXrPMN8n7'",,Polk County,Florida,United States
2022-04-11 21:08:56+00:00,b'The Chineses people will die fighting for freedom or die surrendering what freedom they have left. Perhaps somewher\xe2\x80\xa6 https://t.co/8kPLNxA2SG',,,,
