Time,Text,City,County,State
2022-04-11 19:51:29+00:00,"b'Members of the GOP are exempt from any consequences. They follow their HUGE hero, the Liar-Cheat-Rapist Traitor, wh\xe2\x80\xa6 https://t.co/ZxFKTtcXmC'",Placentia,Piacenza,,Italia
2022-04-11 19:50:23+00:00,b'@AZ_Brittney So that is why she is running as #GOP?  I am confused',Elk Grove,Sacramento County,California,United States
2022-04-11 19:48:47+00:00,b'@joshtpm @TPM The #GQP &amp; #GRP are going to dominate the right in the midterms. The #GOP has no choice but to embrac\xe2\x80\xa6 https://t.co/SISrJ9gszs',,,,
2022-04-11 19:48:23+00:00,"b'@SarahLongwell25 Again, #GOP are not projecting they are confessing.'",,,,
2022-04-11 19:47:55+00:00,b'@u_go_grls @peltzmadeline That\xe2\x80\x99s just terrible. The #GOP claiming to be the party of \xe2\x80\x9cfamily values\xe2\x80\x9d is more ridicu\xe2\x80\xa6 https://t.co/aGJwzvwLo5',,,,
2022-04-11 19:47:43+00:00,"b""@charlesjaco1 A set of trump 'jeniuses' in one family lol.  #gop #gopcoup #GOPRussianAssets""",,,,
2022-04-11 19:47:28+00:00,"b""Proof that Republicans are the real voter frauds. The #GOP can't seem to do anything legal, decent, truthful, or ri\xe2\x80\xa6 https://t.co/g4SccTgYZR""",,,,
2022-04-11 19:47:17+00:00,b'Fuck #Putin &amp; all the #GOP who repeat his talking points! This includes @TuckerCarlson @IngrahamAngle @seanhannity\xe2\x80\xa6 https://t.co/HWHFpMtiqo',,,,
2022-04-11 19:46:52+00:00,"b'Calls for Recusals, Resignations, and Even Impeachment: Democrats Escalate Ethics Campaign Around Clarence Thomas |\xe2\x80\xa6 https://t.co/30zRLEENH1'",,Saint Clair County,Michigan,United States
2022-04-11 19:45:26+00:00,b'@peatonx @DaphneDoGood1 @kgoebel @peltzmadeline The FOP is the strongest Union in the US the @NEAToday has been wea\xe2\x80\xa6 https://t.co/ijXkmj7B48',Spring Hill,Maury County,Tennessee,United States
2022-04-11 19:44:05+00:00,b'This tweet nails the #GOP: Lawn darts bad. Ghost guns good. https://t.co/iRxZo58DYm',,,,
2022-04-11 19:43:35+00:00,"b""Well, that's one perspective. \nIt's almost like the sensible target is anyone except the folks with the most ... na\xe2\x80\xa6 https://t.co/kze366OQEp""",,,,
