Time,Text,City,County,State
2022-04-11 04:37:44+00:00,b'#NationalSiblingsDay  for winner #KetanjiBrownJackson  #JusticeKetanjiBrownJackson  #Scotus of ultra for usa 2022 f\xe2\x80\xa6 https://t.co/wXHUvRye39',,,,
2022-04-11 04:37:12+00:00,b'one hand washing the other #joebiden @SecretService',,Mills County,Texas,United States
2022-04-11 04:30:09+00:00,b'We also saw #JoeBiden #EmperorHadrian playing games with #HavanaSyndrome aka #Controversy last year\xe2\x80\xa6 https://t.co/dcNUwjuiuL',,,,
2022-04-11 04:29:16+00:00,b'PM Modi to hold virtual meeting with US President Joe Biden today | #EducationBro \nPrime Minister #NarendraModi wil\xe2\x80\xa6 https://t.co/g403aupF4Y',,,,
2022-04-11 04:23:01+00:00,b'#Cannabis \nThere should NOT be one person sitting in jail/prison for WEED! The system is ROTTEN! #JoeBiden\xe2\x80\xa6 https://t.co/UpweMCNbEA',,Tulare County,California,United States
2022-04-11 04:22:25+00:00,b'New Poll Finds Joe Biden Underwater In Blue New Jersey https://t.co/JkRRRTpOz7 #Democrats #JoeBiden #NewJersey\xe2\x80\xa6 https://t.co/Dh5eUothJz',,,,
2022-04-11 04:22:13+00:00,"b'India, US to sign space MoU during 2 2 meeting #WhiteHouse #JenPsaki #JoeBiden #Russia-Ukrainecrisis #2 2meeting https://t.co/iaReAYFVFn'",,,,
2022-04-11 04:21:16+00:00,b'New Poll Finds Joe Biden Underwater In His Home State Of Delaware https://t.co/MZyYBZLTIW #Delaware #Democrats\xe2\x80\xa6 https://t.co/rpdSZG2hDT',,,,
2022-04-11 04:19:42+00:00,"b""@SenTedCruz Just some of the great accomplishments under #JoeBiden \nTrump's record; slashing taxes for wealthy. And\xe2\x80\xa6 https://t.co/TJp1btUzdw""",,,,
2022-04-11 04:16:46+00:00,b'@CrisisHegelian #ButHunterBiden is the smartest man #JoeBiden knows.',,,,
2022-04-11 04:10:01+00:00,"b""The White House said #JoeBiden will press Indian #PMNarendraModi to take a hard line against Russia's Ukraine invas\xe2\x80\xa6 https://t.co/FBGC1c8Jyd""",,,,
2022-04-11 04:08:53+00:00,b'Seems #America is going to go after Turkey next.\n\n#JoeBiden is definitely a warmonger compared to Trump. https://t.co/eDgCIEHX1V',,,,
2022-04-11 04:04:42+00:00,"b'Europe turns to Middle East, Mediterranean to reduce its ... - https://t.co/aVk4heXW6M \nGet your news featured use\xe2\x80\xa6 https://t.co/ffeOELLZ7C'",Fremont,Alameda County,California,United States
2022-04-11 03:57:21+00:00,b'@atrupar If @GOPLeader is gonna LIE to @MariaBartiromo - at least make it a believable one.\nIF\xe2\x80\xa6 https://t.co/q3RcrH6CIR',,,,
2022-04-11 03:56:34+00:00,b'PM Modi to hold virtual interaction with US President Joe Biden today #saralbharatnews #PMModi #JoeBiden https://t.co/ureKobZMBu',,,,
2022-04-11 03:53:09+00:00,b'North Korea calls US President Joe Biden \xe2\x80\x98an old man in his senility\xe2\x80\x99 after he called Vladimir Putin a war criminal\xe2\x80\xa6 https://t.co/nWzUyyE1W9',,,,
2022-04-11 03:52:19+00:00,"b""#JoeBiden should go to Kyiv.\n\nHe's the leader of the free world &amp; it would help to keep Republicans shut. https://t.co/AOgZQVrdMq""",,,,
2022-04-11 03:50:07+00:00,b'Truth Tuesday: Confirm Judge Ketanji Brown Jackson to the Supreme Court #Scotus #JusticeKetanjiBrownJackson\xe2\x80\xa6 https://t.co/9PNrbeACWD',,,,
2022-04-11 03:43:48+00:00,b'There are two very sad points about the Biden Obama Whitehouse video and it\xe2\x80\x99s not Joe talking to the curtains. \n1.\xe2\x80\xa6 https://t.co/1SIMChvY0r',,New York County,New York,United States
2022-04-11 03:41:13+00:00,b'Where #JoeBiden and #HunterBiden deserve to be!!!! https://t.co/tSxmWL9OtN',,,,
2022-04-11 03:40:23+00:00,"b'PM Modi and US President Biden to have a virtual meet today, ahead of India-US 2+2 talks \n\nThey will discuss\xe2\x80\xa6 https://t.co/z6IvxmePtx'",,,,
2022-04-11 03:37:29+00:00,b'#NATIONAL | PM Modi and Joe Biden to Hold Virtual Meet Today \n#NarendraModi #JoeBiden #VirtualMeet #UnitedStates\xe2\x80\xa6 https://t.co/nkMW9mPNa8',,,,
2022-04-11 03:27:02+00:00,b'PM Modi to hold virtual meet with US President Joe Biden today https://t.co/m1GbTBOjtn https://t.co/mmMewwEwvF\xe2\x80\xa6 https://t.co/Yp3TcrOBVM',,,,
2022-04-11 03:26:35+00:00,b'Way to go Joe! #JoeBiden @POTUS https://t.co/6UsUqf5azC',,,,
2022-04-11 03:25:27+00:00,b'PM Narendra Modi to Hold Virtual Talks With US President Joe Biden Today\n@narendramodi @PMOIndia @JoeBiden \n#Modi\xe2\x80\xa6 https://t.co/wL9hc3UEoX',,,,
2022-04-11 03:23:54+00:00,b'#PMModi to hold virtual interaction with US President #JoeBiden today\nhttps://t.co/4Fks8AXJAN',,,,
2022-04-11 03:18:52+00:00,"b""How is #JoeBiden talking about #foodshortages when they sending Ukraine refugees over here what's really going on https://t.co/KuRJfKyynJ""",,,,
2022-04-11 03:12:31+00:00,"b""@mmpadellan Wtf are you talking about #deadbeatdad?! Didn't @POTUS #JoeBiden become the president by winning the\xe2\x80\xa6 https://t.co/FzsiV0Ie9T""",,,,
2022-04-11 03:01:33+00:00,"b'Ahead of the Indo-US 2+2 talks in Washington on Monday at the foreign and defence ministerial level, Prime Minister\xe2\x80\xa6 https://t.co/cKgxY3KjY0'",,,,
2022-04-11 03:01:22+00:00,"b'Ahead of the Indo-US 2+2 talks in Washington on Monday at the foreign and defence ministerial level, Prime Minister\xe2\x80\xa6 https://t.co/tAEN076s8L'",,,,
2022-04-11 03:00:17+00:00,b'PM Narendra Modi will hold a virtual meeting with US President Joe Biden on April 11 to review the ongoing bilatera\xe2\x80\xa6 https://t.co/djfN2KGltE',,Tulare County,California,United States
2022-04-11 03:00:15+00:00,b'#ICYMI: President #JoeBiden has reportedly been roped into #HunterBiden\xe2\x80\x99s ongoing tax fraud investigation.\nhttps://t.co/QHt5ZCf7iv',,,,
2022-04-11 02:58:12+00:00,"b'Hunter Biden\'s kickbacks to ""the Big Guy"" are still turning up https://t.co/MASLluhJ6o @danabrams Yes, Mr. Abrams t\xe2\x80\xa6 https://t.co/WdXMCskvI3'",,,,
2022-04-11 02:55:55+00:00,"b'Hey Biden, Pelosi, Kaaaamaallaaa - you can all eat a bag of DICKS - thanks for supporting the middle class and peop\xe2\x80\xa6 https://t.co/hFQIigxAaA'",,,,
2022-04-11 02:50:19+00:00,b'All eyes on PM Modi\xe2\x80\x99s meeting with US President Joe Biden   https://t.co/wAESC0xc9z #JoeBiden',,,,
2022-04-11 02:49:17+00:00,b'Out of the mouth of babes!\n\n#joebiden #Biden https://t.co/rHJUsGZymz',,,,
2022-04-11 02:48:17+00:00,b'Indian PM Narendra Modi will interact with US President Joe Biden virtually today to further deepen ties between In\xe2\x80\xa6 https://t.co/xXudvidPkA',,,,
2022-04-11 02:47:54+00:00,"b""Share this everywhere and like and comment if you think it's genius!  #joebiden #joebidenforprison #hunterbiden https://t.co/lbu4nvSWzi""",,Polk County,Florida,United States
2022-04-11 02:43:27+00:00,b'Biden save america again 2024\nBiden:https://t.co/FYKYthWIxU\nTrump:https://t.co/LUpymaFJSq\n#biden\xe2\x80\xa6 https://t.co/gdw9Lrjk5m',,,,
2022-04-11 02:43:02+00:00,"b""India-US 2+2 Dialogue: PM Modi's Meeting With Prez Biden Today, Leaders To Exchange Views On Global Issues.\n\n#India\xe2\x80\xa6 https://t.co/CDetVMIDKc""",,,,
2022-04-11 02:40:03+00:00,b'PM #NarendraModi and U.S. President #JoeBiden will hold a virtual meeting prior to the \xe2\x80\x9c2+2\xe2\x80\x9d Foreign and Defence mi\xe2\x80\xa6 https://t.co/lvMNvWH3R3',,,,
2022-04-11 02:39:19+00:00,b'\xe2\x9e\xa1\xef\xb8\x8f Pakistan lawmakers set to vote in #ShehbazSharif \n\n\xe2\x9e\xa1\xef\xb8\x8f #PMModi and US President #JoeBiden to speak ahead of key 2\xe2\x80\xa6 https://t.co/kSFjrvJCtB',,,,
2022-04-11 02:39:03+00:00,b'@The_Real_Fly Good stat. #JoeBiden has to tell us before it happens. #Famine',,,,
2022-04-11 02:35:10+00:00,"b""#HillaryClinton should be in JAIL and throw away the key once she's there! Put #BillClinton behind bars too or mayb\xe2\x80\xa6 https://t.co/PenwXBfVZG""",,,,
2022-04-11 02:33:47+00:00,"b""#JillBiden \n#JoeBiden\nIt is in your hands.\nDon't sell #Ukraine short.\n\nWe watch\nwhat you do and don't do\nin our nam\xe2\x80\xa6 https://t.co/FCj0vr1mpD""",,,,
2022-04-11 02:32:53+00:00,b'@KTRTRS Brave guy #POTUS #JoeBiden #macaron #KamalaHarris',,,,
2022-04-11 02:29:07+00:00,b'#JoeBiden is an international embarrassment and exudes weakness to our enemies https://t.co/GSYD8CrkKS',,Mills County,Texas,United States
2022-04-11 02:20:17+00:00,b'#JoeBiden Apologize to Pak for violating  Sovereignty &amp; interfering in State matters\n\n#JoeBidenResign for officiall\xe2\x80\xa6 https://t.co/jvhbRTosvD',,,,
2022-04-11 02:15:06+00:00,"b'PM Modi to discuss a range of issues including the #COVID19 pandemic, #ClimateCrisis, global economy and Indo-Pacif\xe2\x80\xa6 https://t.co/Mb4sa3oJ1h'",,,,
2022-04-11 02:12:09+00:00,"b'What is really scary about the lockdown in Shanghai is that #China is positioned to be the new world power, given h\xe2\x80\xa6 https://t.co/aZDmUENgpZ'",,Portage County,Wisconsin,United States
2022-04-11 02:07:45+00:00,b'PM Modi to hold virtual interaction with US President Joe Biden today\n\n#PMModi #JoeBiden https://t.co/5aLj2ReL1y',,,,
2022-04-11 02:03:49+00:00,b'Prime Minister Narendra #Modi will interact with President #JoeBiden virtually on Monday to further deepen ties bet\xe2\x80\xa6 https://t.co/Fk6dPk8zGj',,,,
