Time,Text,City,County,State
2022-04-11 21:52:01+00:00,"b""@foxnews @TuckerCarlson @seanhannity @HouseGOP #maga #kag #maga2024\n\nWait, but, what about Hunter's laptop and her emails?""",,,,
2022-04-11 21:20:04+00:00,b'As I reflected on some scripture I  noticed how what was foretold is starting to be happening in these last years.\xe2\x80\xa6 https://t.co/2O3Nc2UdYY',Springfield,Hampden County,Massachusetts,United States
2022-04-11 21:15:03+00:00,b'TENS OF SUPPORTERS STILL BACK THIS LUNATIC: Latest Trump Rally Flops Hard After Hardly Anybody Shows Up \n\nLooking o\xe2\x80\xa6 https://t.co/VnbEahgDu7',,,,
2022-04-11 20:43:49+00:00,"b""Anyone from Ohio even considering voting for #GOP Josh Mandel 4 the Senate needs their head examined. We don't need\xe2\x80\xa6 https://t.co/kVSwnJTt9i""",,,,
2022-04-11 19:43:15+00:00,"b'The national leaders the world would be better off w/o, voluntarily or involuntarily: Vladimir Putin, Joe Biden, Ki\xe2\x80\xa6 https://t.co/5MnmlSVZaA'",,,,
2022-04-11 19:41:28+00:00,b'President D\xcc\x8donald J. Trump Collectible Pocket Watch -  Up to 80% OFF!  Today Only ! (FREE SHIPPING) \xf0\x9f\x98\x9b\xe2\x80\xa6 https://t.co/8WdTFGWdtR',Memphis,Shelby County,,United States
2022-04-11 19:39:17+00:00,"b'War Room: ""We are in a war and it\'s winnable."" #maga #kag #vets #trump\n\n https://t.co/DgK0rqJ7zf'",,,,
2022-04-11 18:26:21+00:00,b'#LetsGoBrandon \nDear #WeThePeople #AmericaFirst #MAGA #KAG #AmericanCitizens #homeschooling #WorldCitizens\xe2\x80\xa6 https://t.co/BYKiwSBE80',,,,
2022-04-11 18:21:36+00:00,"b""@GIRLONFIRENV The Once ''Magical World of Disney'' Days is Gone Never Thought I Live The Day to See Democracy that\xe2\x80\xa6 https://t.co/zk3BZkItJI""",,,,
2022-04-11 17:48:04+00:00,"b""@GIRLONFIRENV @MistySu18856335 Hmmm ??? I'm Not Sure What Elon Musk's Thinking Not Wanting to be Shareholder of Twi\xe2\x80\xa6 https://t.co/Atwj3wAzsi""",,,,
2022-04-11 17:47:08+00:00,"b""@NAChristakis @DavidAFrench @TheAtlantic We indeed send our youngest children to school to learn Readin', 'Ritin',\xe2\x80\xa6 https://t.co/9pbg5h9cP8""",,,,
2022-04-11 17:37:48+00:00,b'If @elonmusk continues to add to his @twitter holdings and organizes a coalition under his leadership to buy at lea\xe2\x80\xa6 https://t.co/nPMaA1shzV',,,,
2022-04-11 17:26:42+00:00,b'President Donald J. Trump Collectible Pocket Watch -  Up to 80%\xcc\xa1 OFF!  Today Only ! (FREE SHIPPING) \xf0\x9f\x98\x91\n\n\xe2\x9e\xa8\xe2\x80\xa6 https://t.co/RXeNvCWGmT',,Carroll County,Maryland,United States
2022-04-11 17:11:37+00:00,b'@thereidout @JoyAnnReid 69% of College educated women of all amounts of melanin oppose our Creator endowed unaliena\xe2\x80\xa6 https://t.co/0m9WRvtQNx',,,,
2022-04-11 17:11:08+00:00,b'President Dona\xcc\x96ld J. Trump Collectible Pocket Watch - Up to 80% OFF Today! (FREE SHIPPING) \xf0\x9f\xa4\xab\n\n\xe2\x9e\xa6\xe2\x80\xa6 https://t.co/kKnOdrsqnr',Charlottesville,,,United States
2022-04-11 17:00:29+00:00,b'Trump Collectible Pocket Wat\xcc\x96ch - Today Up to 80% OFF! (FREE SHIPPING) \xf0\x9f\xa4\xaa\n\n\xe2\x9e\xbahttps://t.co/8IunFZkDxD\n\n#Trump2020\xe2\x80\xa6 https://t.co/QQJRzj0R6a',Oak Park,Cook County,Illinois,United States
