Time,Text,City,County,State
2022-04-11 15:15:52+00:00,"b'Funny how for so many of these politicians representation, identity, generational wealth and passing on a legacy ma\xe2\x80\xa6 https://t.co/c4slqNOb1K'",,,,
2022-04-11 14:54:17+00:00,b'Selections based on race or sex are against the federal labor laws. #KamalaHarris and #KetanjiBrownJackson were exp\xe2\x80\xa6 https://t.co/FMMMqNw2MK',,,,
2022-04-11 14:40:43+00:00,b'#ImportedGovtNotAcceptable #IamImranKhan Please refer to timeline since 3.27.2020 when I saw #GretchenWhitmer on TV\xe2\x80\xa6 https://t.co/pySgJe7fFC',,,,
2022-04-11 14:29:41+00:00,"b""@EconomicTimes Can't r/o it out as 2013 CA AG #KamalaHarris didn't think it an issue that people from #Muslim count\xe2\x80\xa6 https://t.co/7uOZMDfATa""",,,,
2022-04-11 13:43:04+00:00,b'\xe2\x80\x9cMORE MONEY FOR THE COPS. BILLIONS MORE! WE #FUNDTHEPOLICE!!!!!\xe2\x80\x9d\xe2\x80\x94#JoeBiden @joebiden #KamalaHarris @KamalaHarris\xe2\x80\xa6 https://t.co/wbBwLcMGYP',,,,
2022-04-11 13:30:42+00:00,b'#Israeli forces detain 23 #Palestinians in #WestBank raids https://t.co/40rAEOvL1V #Jerusalem #Ramadan\xe2\x80\xa6 https://t.co/Sq8sfSu8vp',,,,
2022-04-11 13:23:26+00:00,"b'Ukraine says at least 50 people have been killed, and dozens wounded after rockets hit a train station in the easte\xe2\x80\xa6 https://t.co/Pc3Zg0n6D6'",,,,
2022-04-11 13:14:10+00:00,b'White House Puts Federal Student Loan Installments On Hold Until August 31st\nhttps://t.co/h866aWzSNP\xe2\x80\xa6 https://t.co/6j6S2XSJTl',,,,
2022-04-11 12:41:19+00:00,"b'The mortgage industry is anti-Black, they know it. The administration @VP #KamalaHarris &amp; @SecFudge has developed\xe2\x80\xa6 https://t.co/FP95tPCiZC'",,Carroll County,Maryland,United States
2022-04-11 12:40:46+00:00,b'WH Gets Busted in Blatant Lie About #KamalaHarris https://t.co/b5tdcoD0CR',,,,
2022-04-11 12:36:50+00:00,b'See @gucci1017 it\xe2\x80\x99s like you said.  What do you do with the money @JoeBiden not a fan #gucci of #KamalaHarris @VP b\xe2\x80\xa6 https://t.co/pkGjB26Fyp',,,,
2022-04-11 12:24:58+00:00,b'.@washingtonpost low key wrote this article as if @VP #KamalaHarris will be VP *to* @SecMartyWalsh if he decides to\xe2\x80\xa6 https://t.co/Z3668eUH3E',,Carroll County,Maryland,United States
2022-04-11 12:22:13+00:00,b'It will be a great day (in Fantasy Land) when lawmakers care more about people they serve than their own power. Why\xe2\x80\xa6 https://t.co/6JbOvZOtAG',,,,
2022-04-11 12:19:38+00:00,b'Knowing I was part of the millions that made this happen gives me joy. Very proud of what #BidenHarris have been ab\xe2\x80\xa6 https://t.co/QMxWD1lyKR',,,,
2022-04-11 11:59:22+00:00,"b""I'll just leave this here...#Biden #KamalaHarris #Democrats #Liberals #CNN #MSNBC #Bidenflation #BidenGasHike\xe2\x80\xa6 https://t.co/XLeuzoHrRj""",,,,
2022-04-11 10:55:36+00:00,"b'No joke, #KamalaHarris makes #JoeBiden look GOOD! When you find yourself in a hole the first thing to do is STOP DI\xe2\x80\xa6 https://t.co/abznK6bbAV'",North Ridgeville,Lorain County,Ohio,United States
2022-04-11 10:17:44+00:00,b'#Squawkbox #Apple #Tech #India #Foxnews #Foxbusiness #KamalaHarris $Cnbc #Bloomberg  #ABC #21Century #NewEconomy \nA\xe2\x80\xa6 https://t.co/KQit1Tm4J3',,,,
2022-04-11 07:00:26+00:00,"b'Ours is a fundamentally unserious culture, two examples https://t.co/xTz9e8hHG1 #Criticism #FakeNews #KamalaHarris'",Ontario,Cochrane District,,Canada
2022-04-11 06:14:07+00:00,b'https://t.co/RZkpRxfqNw #JusticeKetanjiBrownJackson  we love her so much of ultra usa 2022 champion\xe2\x80\xa6 https://t.co/DvoPrSW6xa',,,,
2022-04-11 06:04:37+00:00,b'This is called the silent look\xe2\x80\xa6 also known as the #KamalaHarris sister-girl look \xf0\x9f\x91\x80.  #Kamalot https://t.co/z7Q1UlWneq',,,,
2022-04-11 05:49:18+00:00,b'https://t.co/ETEmvleeZT #KetanjiBrownJackson  #scotus #JusticeKetanjiBrownJackson  for usa 2022 championship for\xe2\x80\xa6 https://t.co/CnuSNw1YM7',,,,
2022-04-11 05:38:36+00:00,"b'The Official Daily Guidance for the Vice President @vp for Monday, April 11, 2022. #kamalaharris #news #Whitehouse\xe2\x80\xa6 https://t.co/S2M0Ewg4vp'",,,,
2022-04-11 04:49:28+00:00,"b""@KamalaHarris This was last week's soundbite.  New story please.  Maybe take some more pictures of #KamalaHarris on\xe2\x80\xa6 https://t.co/uxCTw1f2Cu""",,Mills County,Texas,United States
2022-04-11 04:37:44+00:00,b'#NationalSiblingsDay  for winner #KetanjiBrownJackson  #JusticeKetanjiBrownJackson  #Scotus of ultra for usa 2022 f\xe2\x80\xa6 https://t.co/wXHUvRye39',,,,
2022-04-11 04:33:17+00:00,b'https://t.co/OwLlD98aSQ Truth Tuesday: Confirm Judge Ketanji Brown Jackson to the Supreme Court\n for apr 12th 2022\xe2\x80\xa6 https://t.co/TZPd2VA13u',,,,
2022-04-11 04:27:30+00:00,"b'Can you believe the nerve of this guy? Talk about privilege. Sentenced 150 days, serves 6 days and has a new song a\xe2\x80\xa6 https://t.co/hpCg9nc6JX'",,,,
2022-04-11 03:50:07+00:00,b'Truth Tuesday: Confirm Judge Ketanji Brown Jackson to the Supreme Court #Scotus #JusticeKetanjiBrownJackson\xe2\x80\xa6 https://t.co/9PNrbeACWD',,,,
2022-04-11 02:32:53+00:00,b'@KTRTRS Brave guy #POTUS #JoeBiden #macaron #KamalaHarris',,,,
2022-04-11 02:28:18+00:00,"b'With the #Midterms2022 coming up, what will happen this fall?  #Elections2022 #Congress #Elections #Pelosi #biden\xe2\x80\xa6 https://t.co/i9RUzEMvht'",,,,
2022-04-11 01:39:34+00:00,b'Kamala Harris is writing for fortune cookies. \n#KamalaHarris https://t.co/SZml7IeLZT',,,,
2022-04-11 01:27:57+00:00,b'#Israeli police deport 3 #Jerusalemites from #AlAqsa  https://t.co/PFMVWeVZOR #Jerusalem #Ramadan\xe2\x80\xa6 https://t.co/Dx72XCfVaP',,,,
