Time,Text,City,County,State
2022-04-11 14:05:20+00:00,b'@davidb2789 Spoken like a true #Liberal https://t.co/vL8WCWesOV',,,,
2022-04-11 13:51:16+00:00,"b'Being a Nationalist does not automatically make someone a fascist, or Far Right. Some of the most fascist, authorit\xe2\x80\xa6 https://t.co/mJ2od7NOf6'",,,,
2022-04-11 13:50:58+00:00,"b""Conservatives don't want you to see this #conservative #Liberal #Politics @Sen_JoeManchin https://t.co/KtWxkwuBub""",,,,
2022-04-11 13:04:47+00:00,"b""I am going to say something here that some of my followers will hate. I don't think she should be spouting misinfor\xe2\x80\xa6 https://t.co/xqHv39Jzh1""",,Centre County,Pennsylvania,United States
2022-04-11 13:00:57+00:00,b'@martintetaz @aetchebarne not sleepwalking at all. They had a #liberal #populist agenda. Covid-19 taught people wha\xe2\x80\xa6 https://t.co/Hm3mi5vnYw',,Polk County,Florida,United States
2022-04-11 12:39:21+00:00,"b""@AzamIshmael Don't fall for the #Liberal #TrudeauRegime lies people. This failing and neglectful 'government' is on\xe2\x80\xa6 https://t.co/zLU6QbECLB""",,,,
2022-04-11 12:32:21+00:00,"b'@dnahealthnut ""Liberals"" Never Want to Hear Anything Other than What Makes Them Feel Good.\n\n""Liberals"" Are Pathetic\xe2\x80\xa6 https://t.co/WLKrgwJnNp'",,,,
2022-04-11 12:30:01+00:00,b'How Hollywood destroyed Richard Gere\xe2\x80\x99s career because he chose to speak for the Tibetans\n\nLike all other #liberal s\xe2\x80\xa6 https://t.co/6lIszyfnEL',,,,
2022-04-11 12:09:36+00:00,"b'@four4thefire @Gormogons Walker Is More Likable than Raphael the Racist Warlock Warnock, Who Has Nothing to Offer b\xe2\x80\xa6 https://t.co/0uHuMcoanH'",,,,
2022-04-11 11:56:06+00:00,b'@joncoopertweets It\xe2\x80\x99s fine.  @elonmusk and @SpaceX are busy.  If there are #MAGA idiots that think that company isn\xe2\x80\xa6 https://t.co/5SwVUutVnS',,,,
2022-04-11 11:53:15+00:00,b'How can the #corrupt &amp; #unpatriotic #Republicans be the favorite for the #Midterms2022 when they defend #January6 i\xe2\x80\xa6 https://t.co/kvtilFpqfV',,Polk County,Florida,United States
2022-04-11 11:52:52+00:00,"b'The #German #left-#liberal press is agitating for #Macron. In 2017 #Macron promised to unite France, In fact yester\xe2\x80\xa6 https://t.co/8z0twQxdxd'",,,,
2022-04-11 11:45:49+00:00,"b'This #Liberal and ""ally"" of the #BlackCommunity has made it their effort to relentlessly harass and lie about a\xe2\x80\xa6 https://t.co/3uziX1zgwx'",,,,
2022-04-11 11:29:10+00:00,b'#Liberal SHIT FIRE IN NY #politics  https://t.co/BtzrJh8452',,,,
2022-04-11 11:07:02+00:00,b'@globeandmail Being a #liberal \xe2\x80\x98disqualifies\xe2\x80\x99 @JeanCharest_',Toronto,,,Canada
2022-04-11 10:52:21+00:00,"b""@PitterThePat Of course Juanita Broaddrick can't do that, only liberals can do that. #Liberal #Misinformation""",,,,
2022-04-11 10:15:05+00:00,"b'#LNPFAIL - COVID, Supply Chains and the Floods Edition Samsung Galaxy Phone Case https://t.co/ySviaGgsOQ  #auspol\xe2\x80\xa6 https://t.co/PUHusfPQib'",,,,
2022-04-11 10:11:16+00:00,"b'@ScottMorrisonMP this is out &amp; out CORRUPTION \nThe #taxpayer will be #screwed for $500,000 - plus legal costs - to\xe2\x80\xa6 https://t.co/LVgUlFwClw'",,,,
2022-04-11 09:47:40+00:00,b'Three years at drama school = #lefty #Liberal bedwetter \xf0\x9f\x91\x87 https://t.co/LOp0n0Ghc6',,,,
2022-04-11 09:18:33+00:00,b'There goes #ABC #unfollowed for blatantly being in the #Liberal camp #auspol #newspoll',,,,
2022-04-11 09:05:58+00:00,"b""I don't normally go in for petty snark, but after all the meanness from the #conservatives talking about drinking\xe2\x80\xa6 https://t.co/m3FvVvtiUl""",,,,
2022-04-11 08:45:57+00:00,"b""@MrHandy97218513 @FoxNews Another #liberal thinking they're funny. Put ur mom's computer down &amp; get to work!!""",,,,
2022-04-11 08:38:48+00:00,b'When asked how they could defend their support for someone who drafted the #BidenCrimeBill that unfairly targeted m\xe2\x80\xa6 https://t.co/bHe04U2LLK',,,,
2022-04-11 08:11:16+00:00,"b'Who funded the secret payout of $500,000 to former #Liberal staffer Rachelle Miller, @ScottMorrisonMP.'",Queensland,,,Australia
2022-04-11 07:22:03+00:00,b'#Religions #LiberalHypocrisy #Knowledgeispower One author encyclopedia site airs: Why does #freeexpression as pract\xe2\x80\xa6 https://t.co/sxebagW2yo',,,,
2022-04-11 07:14:01+00:00,"b""#France's Macron and Le Pen head for cliffhanger April 24 #Election runoff \xe2\x80\xa2 #France 24 English -\xe2\x80\xa6 https://t.co/BQMcndCNpi""",,,,
