Time,Text,City,County,State
2022-04-11 16:41:21+00:00,b'People make good money messing with your head. Beware the Russian #Propaganda \n\nhttps://t.co/5UobXPBhuj\xe2\x80\xa6 https://t.co/oDyb1ZZiR4',,,,
2022-04-11 16:18:32+00:00,"b'I wonder if #GretaThunberg has visited #mokattam in Cairo, Egypt in her #ClimateCrisis crusade? Nicknamed ""The City\xe2\x80\xa6 https://t.co/0wAbYLfrxt'",,Carroll County,Maryland,United States
2022-04-11 16:16:35+00:00,"b'Why are #conservatives less concerned about the #coronavirus (COVID-19) than #liberals? Comparing #political, exper\xe2\x80\xa6 https://t.co/ltDWmzMLzU'",,,,
2022-04-11 16:10:59+00:00,"b""This probably isn't what you're looking for. But you see it, and thats the point. \nThats &gt;always&lt; the point. Beware\xe2\x80\xa6 https://t.co/G6Ttu1URtM""",,,,
2022-04-11 16:01:52+00:00,b'@Bree1914 Hahaha that tweet just broke the internet #LiberalismIsAMentalDisorder #Liberals',,,,
2022-04-11 15:57:57+00:00,"b'Wake up and smell the OPs. Beware the Russian #Propaganda \n\nhttps://t.co/mwGN5upfhR \n\n#Easter, Lowri Turner, Toney,\xe2\x80\xa6 https://t.co/yr9DKJ23Xj'",,,,
2022-04-11 15:56:14+00:00,"b'Every one of us is being played, keep cool. Beware the Russian #Propaganda \n\nhttps://t.co/QKajowaG85 \n\nDarlington,\xe2\x80\xa6 https://t.co/8U91gOnRP0'",,,,
2022-04-11 15:55:49+00:00,b'Final report #COVID  lockdowns https://t.co/o7bbFsLt0Z @GovKathyHochul #nysgop #gop #democrats #liberals #cnn\xe2\x80\xa6 https://t.co/g6ZRmxS1K9',,,,
2022-04-11 15:52:37+00:00,"b'@GalenMicheal When I was in school, we had the 3 r\xe2\x80\x99s! Reading, Riting, &amp; Rithmetic! Nothing \xe2\x80\x98bout the birds &amp; bees\xe2\x80\xa6 https://t.co/QPfw1bl2B2'",,,,
2022-04-11 15:44:40+00:00,"b'P.R., propaganda, and psyops, oh my. Beware the Russian #Propaganda \n\nhttps://t.co/bC67pC9DPC \n\nFinland,\xe2\x80\xa6 https://t.co/ssBilmy2qG'",,,,
2022-04-11 15:43:38+00:00,"b'We are awash in information campaigns. Yes, like this. Beware the Russian #Propaganda \n\nhttps://t.co/pvbxp9XUHS \n\nC\xe2\x80\xa6 https://t.co/pmvn9BFM2J'",,,,
2022-04-11 15:41:42+00:00,b'#cdnpoli #TrudeauMustGo #Liberals Why does this make main stream media? #cbc #ctv https://t.co/IiYteywGyx',,,,
2022-04-11 15:24:53+00:00,b'Go liberals! Ontario #liberals deleted themselves. Mass deletion of Ontario gas plant emails by senior Liberal staf\xe2\x80\xa6 https://t.co/GtfhUAv7JE',,,,
2022-04-11 15:24:21+00:00,"b'Why you no unnderstan?? (\xe2\x95\xaf\xc2\xb0\xe2\x96\xa1\xc2\xb0)\xe2\x95\xaf\xef\xb8\xb5 \xe2\x94\xbb\xe2\x94\x81\xe2\x94\xbb Beware the Russian #Propaganda \n\nhttps://t.co/14mhRTLzfs \n\nFar Right, Toney,\xe2\x80\xa6 https://t.co/P1a5CH5Ck8'",,,,
2022-04-11 15:13:58+00:00,b'For her thoughts on #covid19 and DNA.  #Liberals continuously spread misinformation about #PresidentTrump(Russian c\xe2\x80\xa6 https://t.co/EhDAbreNRk',New England,Oxford County,,United States
2022-04-11 15:09:00+00:00,"b'Propaganda IS a dirty trick, \n It is not always lies. \n Clear your head, and see. Beware the Russian #Propaganda\xe2\x80\xa6 https://t.co/trz6qWp4Bb'",,,,
2022-04-11 15:01:45+00:00,b'@mdgardiner1 And It\xe2\x80\x99s also TRUE! The #liberals are making life more difficult for average Canadians. The\xe2\x80\xa6 https://t.co/1v0FfPcfdE',Ontario,Cochrane District,,Canada
2022-04-11 14:57:27+00:00,"b'Biden wants to crack down on \xe2\x80\x9cghost guns\xe2\x80\x9d, which are not the issue of violence. Democrat feel good legislation. Cra\xe2\x80\xa6 https://t.co/ucadAiyZsy'",,Sanpete County,Utah,United States
2022-04-11 14:55:20+00:00,b'If @PierrePoilievre didn\xe2\x80\x99t support the #truckers #liberals would have said he\xe2\x80\x99s not a true conservative. He support\xe2\x80\xa6 https://t.co/g4ANcxHhFi',Ontario,Cochrane District,,Canada
2022-04-11 14:55:18+00:00,"b'What is a Muslim Area according to #Liberals ??\n\nAny territory earmarked for that \xf0\x9f\x98\xb3\n\nSo far as I know, #Pakistan co\xe2\x80\xa6 https://t.co/VzpMFgAopG'",,,,
2022-04-11 14:54:18+00:00,b'White #Liberals love #Obama so much. I have a question for them. What did #Obama do for #Freedmen Americans? What t\xe2\x80\xa6 https://t.co/hJ0gi00SXd',Bronx,,,United States
2022-04-11 14:52:53+00:00,"b'Wake up and smell the PsyOps. Beware the Russian #Propaganda \n\nhttps://t.co/bC67pC9DPC \n\nBrooklyn Beckham, Lowri Tu\xe2\x80\xa6 https://t.co/9sa3S1SNMw'",,,,
2022-04-11 14:42:18+00:00,b'@prakashraaj Scoundrel crypto @prakashraaj when crypto #christain in guise of #dalit become hmo of #andhra how poor\xe2\x80\xa6 https://t.co/KInmNqodjE',,,,
2022-04-11 14:35:14+00:00,"b""This graph is from Treasury, it's not lying like #Morrison is.\nTaxes are always higher under the #Liberals.\xe2\x80\xa6 https://t.co/8cZq11jrmV""",,,,
2022-04-11 14:34:34+00:00,b'Last I knew it was the job of CEO\xe2\x80\x99s to increase the wealth of their share holders! @FoxNews @RoKhanna #hypocrites #oil #liberals #Democrats',,,,
2022-04-11 14:31:49+00:00,"b'Unfortunately, #Herschelwalker is about to experience the highest level of racism in his entire life.....At the han\xe2\x80\xa6 https://t.co/RN4U4SL5C1'",,Comerío,Puerto Rico,United States
2022-04-11 14:28:42+00:00,"b'@4u_haiku @ACTBrigitte ""When you\'re rich and famous they let you grab their pussy.""\nTrump was stating #truth in tha\xe2\x80\xa6 https://t.co/CnkUnvK6ot'",,,,
2022-04-11 14:27:54+00:00,"b""Student hides from 'woke mob' in bathroom as angry protesters target Allen West: 'I was afraid for my life'\xe2\x80\xa6 https://t.co/rM4JiPznEx""",Pensacola,Escambia County,,United States
2022-04-11 14:21:17+00:00,b'See even in the #comics the #Liberals are the #villains - they want you to hate the #billionaire #republican\xe2\x80\xa6 https://t.co/f4TacdXBZe',Philadelphia,Philadelphia County,Pennsylvania,United States
2022-04-11 14:20:49+00:00,"b""This probably isn't what you're looking for. But you see it, and thats the point. \nThats &gt;always&lt; the point. Beware\xe2\x80\xa6 https://t.co/irEfA6V6LI""",,,,
2022-04-11 14:19:33+00:00,"b'Hi! Thanks for reading, carry on, just think about it, OK? Beware the Russian #Propaganda \n\nhttps://t.co/mwGN5upfhR\xe2\x80\xa6 https://t.co/SNrBM4gBd7'",,,,
2022-04-11 14:17:30+00:00,"b'Wake up and smell the OPs. Beware the Russian #Propaganda \n\nhttps://t.co/QKajowaG85 \n\n#PSA22, #JohnsonOut77, Lowri\xe2\x80\xa6 https://t.co/XnGoZDJboJ'",,,,
2022-04-11 14:17:09+00:00,b'USPS stops deliveries to California neighborhood after repeated attacks on mail carriers: Report\xe2\x80\xa6 https://t.co/DuZ4KJjB5q',Pensacola,Escambia County,,United States
2022-04-11 14:06:30+00:00,"b""If you're getting mad, you're getting played. Beware the Russian #Propaganda \n\nhttps://t.co/bC67pC9DPC \n\nLGB Allian\xe2\x80\xa6 https://t.co/hRPFp4VnKc""",,,,
2022-04-11 13:58:25+00:00,"b'Unlike the majority of you, I freely admit I hate #liberals and especially the filth that call themselves\xe2\x80\xa6 https://t.co/wdXE9fzdfl'",,,,
