Time,Text,City,County,State
2022-04-11 17:00:29+00:00,b'Trump Collectible Pocket Wat\xcc\x96ch - Today Up to 80% OFF! (FREE SHIPPING) \xf0\x9f\xa4\xaa\n\n\xe2\x9e\xbahttps://t.co/8IunFZkDxD\n\n#Trump2020\xe2\x80\xa6 https://t.co/QQJRzj0R6a',Oak Park,Cook County,Illinois,United States
2022-04-11 16:47:32+00:00,b'President Donald J. Trump Collectible Pocket Watch - Up to 80% OFF Today! (FR\xcc\x96EE SHIPPING) \xf0\x9f\x98\x8a\n\n#Patriots\xe2\x80\xa6 https://t.co/jSxsQzJuB6',,Sanpete County,Utah,United States
2022-04-11 16:25:42+00:00,b'Dona\xcc\x94ld J. Trump Collectible Pocket Watch 80% OFF for Today (Limited Offer) \xf0\x9f\x98\x82\n\n\xe2\x9e\xaehttps://t.co/4gv0As7OZm\n\n#Patriots\xe2\x80\xa6 https://t.co/dLpBca8ckk',Rocklin,Placer County,,United States
2022-04-11 16:12:52+00:00,b'So whether Greenblatt and his ADL think they mean to end Section 230?\n\nThey are in fact calling for the end of Sect\xe2\x80\xa6 https://t.co/uWpc3ZyCbP',Goodland,Collier County,Florida,United States
2022-04-11 16:10:31+00:00,b'\xe2\x80\x9cYou hate me because you still love me.\xe2\x80\x9d \xe2\x80\x93 @realDonaldTrump #MakeAmericaGreatAgain',,,,
2022-04-11 15:57:57+00:00,"b""@RepStefanik It's enviable Once Republicans Regain CONTROL of the house Deportation MUST TAKE PLACE on a MASSIVE LE\xe2\x80\xa6 https://t.co/andn2l1803""",Columbus,Franklin County,Ohio,United States
2022-04-11 15:46:01+00:00,b'And she should go to jail!\n#MAGA #MakeAmericaGreatAgain #TheResistance https://t.co/k0gXZtNx2Y',,,,
2022-04-11 15:41:01+00:00,b'Anyone he thinks Russia/Putin and Good or Misunderstood need to consider the implied brutality &amp; criminality of thi\xe2\x80\xa6 https://t.co/QYtM0Hsk79',,,,
2022-04-11 15:40:14+00:00,"b""New York, he wouldn't get 10% of the ABC News debate like a dog. Now he is on -will be fantastic! #MakeAmericaGreatAgain!""",,,,
2022-04-11 15:31:50+00:00,b'President Donald J. Trump Collectible Pocket Watch - \xcc\x97Up to 80% OFF Today Only! - FREE SHIPPING \xf0\x9f\xa4\x97\n\n#Trump2024\xe2\x80\xa6 https://t.co/bZ3jFvAeCF',,,,
2022-04-11 15:10:33+00:00,b'\xe2\x80\x9cIt is better to live one day as a lion than 100 years as a sheep.\xe2\x80\x9d \xe2\x80\x93 @realDonaldTrump #MakeAmericaGreatAgain',,,,
2022-04-11 15:05:00+00:00,b'If a Great Leader. John has been created in West Virginia!\n#MakeAmericaGreatAgain\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nTickets:',,,,
2022-04-11 14:52:51+00:00,b'#ThisisNotJournalism #ThisIsAmerica @mercnews @SCCgov @kron4news @AP o\xe2\x80\x99well. @BeanzAndTuna time got another beautif\xe2\x80\xa6 https://t.co/Wf3SCxsSAU',,,,
2022-04-11 14:46:25+00:00,b'Trump C\xcc\x96ollectible Pocket Watch - Today Up to 80% OFF! (FREE SHIPPING) \xf0\x9f\xa7\x90\n\n\xe2\x9e\xafhttps://t.co/9XSKLvRgDU\n\n#MondayVibe\xe2\x80\xa6 https://t.co/ODLFslkyjr',,,,
2022-04-11 14:24:28+00:00,"b'@DonaldJTrumpJr Masks suck. When will you people wake up? They only get you to wear them so you lose brain cells, t\xe2\x80\xa6 https://t.co/l5WftsXwgw'",,,,
2022-04-11 14:13:03+00:00,"b""Trump Collectible Pocket Watch. \xcc\xa1EXCLUSIVE: You won't find this offer anywhere else but here! (FREE SHIPPING) \xf0\x9f\xa4\xa9\xe2\x80\xa6 https://t.co/KpHbC8kYN6""",,,,
2022-04-11 14:10:26+00:00,b'\xe2\x80\x9cIt is humiliating to remain with our hands folded while other write history.\xe2\x80\x9d \xe2\x80\x93 @realDonaldTrump #MakeAmericaGreatAgain',,,,
2022-04-11 13:54:25+00:00,"b'We want to know your opinion\xe2\x80\xbc\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x8d\xf0\x9f\x92\x99\n\nIf you like this post, follow us and share it!\n\n#inflation #JoeBiden #biden\xe2\x80\xa6 https://t.co/TPwo8w8oIo'",,,,
2022-04-11 13:53:21+00:00,b'Donald J. Trump Collectible Pocket Watch 80%\xcc\x8d OFF for Today (Limited Offer) \xf0\x9f\xa4\x93\n\n#LetsGoBrandon #Trump2024\xe2\x80\xa6 https://t.co/HqUl1YUtEY',,,,
2022-04-11 13:43:41+00:00,"b""Trump Collect\xcc\x97ible Pocket Watch. EXCLUSIVE: You won't find this offer anywhere else but here! (FREE SHIPPING) \xf0\x9f\xa4\xa8\n\n\xe2\x9e\xbb\xe2\x80\xa6 https://t.co/M6aDZ8HFFb""",,,,
2022-04-11 13:34:02+00:00,b'GIFT: This Iconic Watch Makes a Great G\xcc\x8dift for friends &amp; family! Today up to 80% Off! (FREE SHIPPING) \xf0\x9f\xa4\x91\n\n\xe2\x9e\xb8\xe2\x80\xa6 https://t.co/YC4xtYoeuM',,,,
2022-04-11 13:32:16+00:00,"b'To honor him \xcc\x8dfor decades to come, we present to you this President Donald J. Trump Collectible Pocket Watch with F\xe2\x80\xa6 https://t.co/RSTKxQpjKY'",,,,
2022-04-11 13:31:15+00:00,b'President Donald J. Trump Collectible Pocket Watch - Up to 80% OFF To\xcc\xa1day Only! - FREE SHIPPING \xf0\x9f\x98\xb6\n\n\xe2\x9e\xb3\xe2\x80\xa6 https://t.co/Erf1vZmmYs',,,,
2022-04-11 13:25:12+00:00,b'HISTORIC: This collectible Pocket Watch is something every Proud Trump Supporter should be proud to own for generat\xe2\x80\xa6 https://t.co/jFClhC5NfC',,,,
2022-04-11 13:15:08+00:00,"b""Trump Collectible Pocket Watch. EXCLUSIVE: You won't find this offer anywhere else but he\xcc\x96re! (FREE SHIPPING) \xf0\x9f\x98\x8e\n\n\xe2\x9e\xa8\xe2\x80\xa6 https://t.co/JNI3MLtIFE""",,,,
2022-04-11 13:10:57+00:00,b'HISTORIC: This collectible Pocket Watch is something every Proud Trump Supporter should be proud to own for generat\xe2\x80\xa6 https://t.co/Z4pmJ9fEHh',,,,
2022-04-11 13:10:28+00:00,b'\xe2\x80\x9cLife ... should be high and full [and] lived for oneself\xe2\x80\x9d \xe2\x80\x93 @realDonaldTrump #MakeAmericaGreatAgain',,,,
2022-04-11 12:42:59+00:00,b'Tru\xcc\xa1mp Collectible Pocket Watch -  Up to 80% OFF!  Only Today! (FREE SHIPPING) \xf0\x9f\xa5\xb0\n\n\xe2\x9e\xachttps://t.co/RLj8TrAx61\n\n#Trump\xe2\x80\xa6 https://t.co/lPkvuxyzNx',,,,
2022-04-11 12:39:59+00:00,b'HI\xcc\x97STORIC: This collectible Pocket Watch is something every Proud Trump Supporter should be proud to own for genera\xe2\x80\xa6 https://t.co/oXsnHZxFgi',,,,
2022-04-11 12:38:58+00:00,b'Donald J. Trum\xcc\x94p Collectible Pocket Watch 80% OFF for Today (Limited Offer) \xf0\x9f\xa5\xb3\n\n#MakeAmericaGreatAgain\xe2\x80\xa6 https://t.co/wMpr18MJtC',,,,
2022-04-11 12:36:56+00:00,b'Presiden\xcc\x8dt Donald J. Trump Collectible Pocket Watch - Up to 80% OFF Today! (FREE SHIPPING) \xf0\x9f\x98\x97\n\n#Trump2020\xe2\x80\xa6 https://t.co/sPugBMpfQ7',,,,
2022-04-11 12:36:28+00:00,"b""Poor! He doesn't know how to do anything right\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x92\x86\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\nIf you like this post, follow us and share it!\xe2\x80\xa6 https://t.co/43BmGfEvOu""",,,,
2022-04-11 12:28:49+00:00,b'President Donald J. Trump Collectible Pocket Watch -  Up to 8\xcc\x940% OFF!  Today Only ! (FREE SHIPPING) \xf0\x9f\xa4\xa4\n\n\xe2\x9e\x99\xe2\x80\xa6 https://t.co/h0tm53vgZa',,,,
2022-04-11 12:25:50+00:00,b'Donald J. Trump Coll\xcc\x94ectible Pocket Watch 80% OFF for Today (Limited Offer) \xf0\x9f\x98\x85\n\n#MakeAmericaGreatAgain #Trump\xe2\x80\xa6 https://t.co/IwsF4Mu2PD',,,,
2022-04-11 12:18:12+00:00,"b""Trump Collectible Pocket Wat\xcc\x94ch. EXCLUSIVE: You won't find this offer anywhere else but here! (FREE SHIPPING) \xf0\x9f\xa4\xa3\xe2\x80\xa6 https://t.co/u1XKVqChZ2""",,,,
2022-04-11 12:12:45+00:00,b'Trump Collectible Pocket Watch - Today Up to 80% OFF! (FREE SHIP\xcc\x94PING) \xf0\x9f\x98\x8a\n\n\xe2\x9e\xbahttps://t.co/pxC1uyZ4qa\n\n#Maga\xe2\x80\xa6 https://t.co/S4yah9beGq',,,,
