Time,Text,City,County,State
2022-04-11 14:22:20+00:00,b'@Sinfulskin2 EXTREMELY!!! #DemsWinifDemsVote #VoteBlue #VoteBlueToSaveDemocracy #StandWithUkraine',,,,
2022-04-11 14:20:48+00:00,b'@joncoopertweets SAME!!! Walk thru land mines! Wade thru snake infested swamp! In the boiling heat across the barre\xe2\x80\xa6 https://t.co/heEx3BKSV7',,,,
2022-04-11 14:19:49+00:00,"b'@SenTedCruz Senator, can you explain how those decisions raised has prices around the world? Aso, why have your don\xe2\x80\xa6 https://t.co/GDcxsk5rGc'",,,,
2022-04-11 14:19:19+00:00,b'#SayGay #DeSantis is #Florida worst Governor ever! #VoteBlue https://t.co/sT39RkbVUj',Coral Gables,Miami-Dade County,Florida,United States
2022-04-11 14:16:00+00:00,"b""Why haven't oil companies increased their production? Why have they refused, year after year, to increase refining\xe2\x80\xa6 https://t.co/V422axxQZM""",,,,
2022-04-11 14:14:48+00:00,"b'My name is Michelle Vallejo, I am running for Congress to represent #TX15 and I cannot wait to represent YOU in U.S\xe2\x80\xa6 https://t.co/yKhAv0wXqy'",,,,
2022-04-11 14:13:54+00:00,b'Union wages buy more \n#Organize\n#UnionStrong \n#voteblue #UniteBlue https://t.co/3L8QNwAAJJ',,,,
2022-04-11 14:13:39+00:00,"b""@duty2warn That just shows that they don't care about anything that applies to constituents. It's all about power f\xe2\x80\xa6 https://t.co/B9SaKfswhb""",,,,
2022-04-11 14:11:03+00:00,b'\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a  #StrongerTogether \xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a let\xe2\x80\x99s smash the party of #Greed \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb#Corruption \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb #Bigotry \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb #Treason \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb #Lies \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xe2\x80\xa6 https://t.co/x2VWmg9ByC',,,,
2022-04-11 14:04:26+00:00,b'The Republican Party is now so cocky about winning back the Senate &amp; the House that they\xe2\x80\x99re openly calling for high\xe2\x80\xa6 https://t.co/9udsnIkZfF',Camarillo,Ventura County,California,United States
2022-04-11 14:02:43+00:00,b'@LRPow79 @umSoWutDntCare #racism is Southern Heritage just like #insurectionists \n#voteblue https://t.co/v5cBJBnuL1',,,,
2022-04-11 14:00:31+00:00,b'@TristanSnell Reading is over-rated \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f. #voteblue',,,,
2022-04-11 14:00:14+00:00,b'@MuellerSheWrote @USAO_DC Never ever did I have the slightest thought that so many Americans could be turned by for\xe2\x80\xa6 https://t.co/2CiucdP0Tj',,,,
2022-04-11 14:00:01+00:00,b'OMG the Republican candidates in #Ohio are #trash #VoteBlue https://t.co/xEkHmGQwIh',,,,
2022-04-11 13:58:23+00:00,"b'@FoxNews @gop propaganda from the network that loves ratings, but loathe the facts. America,  change the channel,\xe2\x80\xa6 https://t.co/9ajll1uuo4'",,Mills County,Texas,United States
2022-04-11 13:58:12+00:00,b'#VoteBlue \xe2\x80\xa6 cuz my thumbs are cray \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',,,,
2022-04-11 13:57:42+00:00,"b'@KariLake Blah blah blah, you will not be Governor. Lying never win\xe2\x80\x99s. Think everyone has caught onto the GQP lies\xe2\x80\xa6 https://t.co/3LPzeBx0cD'",,,,
2022-04-11 13:54:03+00:00,b'@JerasIkehorn I support all human rights!\n#DemocratsDeliver #VoteBlue',,Licking County,Ohio,United States
2022-04-11 13:52:14+00:00,b'@littlewhitty This will have a definite chilling effect on women seeking medical care from any provider. Once again\xe2\x80\xa6 https://t.co/72kAXONYRU',Dallas,Dallas County,Texas,United States
2022-04-11 13:50:40+00:00,b'@BluePatriot1956 @HerschelWalker If you have gone into a grocery store you know he\xe2\x80\x99s wrong. There isn\xe2\x80\x99t the variety\xe2\x80\xa6 https://t.co/wqOOEE77PB',,,,
2022-04-11 13:50:12+00:00,"b'If @HerschelWalker can\xe2\x80\x99t show up for a debate, how can he show up for Georgia? He shouldn\xe2\x80\x99t be on the ballot period\xe2\x80\xa6 https://t.co/Q0MZEIfaQ2'",Houston,Harris County,Texas,United States
2022-04-11 13:50:05+00:00,b'When AMERICA votes Rethuglicans lose. \nGet out and VOTE\n #voteblue #UniteBlue #DefendDemocracy #RemoveHate https://t.co/u7l1pScKdO',,,,
2022-04-11 13:45:58+00:00,b'Is anyone actually surprised that she\xe2\x80\x99s corrupt? \nWe need to Vote @MarshaBlackburn out of office ASAP! #VoteBlue\xe2\x80\xa6 https://t.co/MDc1ewAPTM',,Rutherford County,Tennessee,United States
2022-04-11 13:45:09+00:00,b'Abbott and Paxton are creating more chaos in an already dysfunctional CPS system.   #BetoForGovernor\xe2\x80\xa6 https://t.co/rIlnHuYmvz',,,,
2022-04-11 13:43:09+00:00,b'@padenpur Happy Monday Denise\nI FOLLOW BACK RESISTERS &amp; DEMS\n#StrongerTogether #SaveDemocracy #VoteBlue\xe2\x80\xa6 https://t.co/8ZGn7xLOxg',,New York County,New York,United States
2022-04-11 13:38:13+00:00,"b'You know that their base does not fact check anything, especially if they are only watching Fox or Newsmax. Then yo\xe2\x80\xa6 https://t.co/5kcT0m830O'",Mesa,Maricopa County,Arizona,United States
2022-04-11 13:37:32+00:00,"b""So #insurectionists and #PutinsGOP and #PutinsPuppets are very adequate description \n\nThey're all a\xe2\x80\xa6 https://t.co/1Ws6KOAagf""",,,,
2022-04-11 13:37:04+00:00,"b'@bfbuschi Exactly! How can Dem voters be so fickle? All people and the country as a whole prosper, gain more rights\xe2\x80\xa6 https://t.co/x4DeQzcfIN'",,,,
2022-04-11 13:26:19+00:00,b'@RCpress @immelza @SenTomlinson Hmmm. Farry running for Tommy\xe2\x80\x99s seat now. Will Farry also continue in his path????  Think twice &amp; #VoteBlue',,,,
2022-04-11 13:26:02+00:00,b'Why aren\xe2\x80\x99t pharmaceutical company owners and executives being sentenced to 100+ years for all the people they\xe2\x80\x99ve ki\xe2\x80\xa6 https://t.co/DgcCRJGQm7',,,,
2022-04-11 13:21:26+00:00,"b'@tnovsa Another qualified, quality person running against a retrumplican. Let\xe2\x80\x99s go Dems! #VoteBlue'",,,,
