,FIPS,Text,Pred
0,47065.0,dear brainwashed lefties seriously youre trying start another russian hoax posing russia get invo ,1
1,13075.0,from observations so families afghanistan lost everything many desperate if we ,1
2,53033.0,thank those trusted foundation task transparency keyamp we continue update donor ,1
3,6037.0,enough these illogical amp absurd comparisons stop taking focus away terrorists barred girls ,1
4,36067.0,the least we usa can do atrocities iraq afghanistan go after russia commit more atrocities ,1
5,36061.0,most confounded elements new afghanistan strategy how organize complicated growing gfa ,1
6,8093.0,what went afghanistan ukraine brings memories september11 what were we thinking dearamerica i ,1
7,34029.0,mikepompeo let not forget mikepompeo so faithful gave afghanistan taliban knowing woul ,1
8,12105.0,districts kunar province map beautiful pics reply kunar ,1
9,36061.0,at un news we focus pages feature latest coverage ongoing crisis such ukraine ,1
10,36061.0,in afghanistan poverty amp social barriers exclude children learning the defacto authorities delay adole ,1
11,6075.0,russia can get in line investigate us atrocities first john laforge russia ukraine afghanistan ,1
12,41051.0,read english afghanistan refugees ,1
13,36061.0,perhaps i posted before bears repeating lali c1964 shah king afghanistan told he ,1
14,48113.0,isis isisinukraine hard earned heavily taxed dollars going funding isis we vowed destro ,1
15,48279.0,talks between taliban mi6 amid evacuation kabul latest chapter british intell ,1
16,11001.0,in ethiopia afghanistan somalia aid workers recount overwhelmed overstretched in ,1
17,48201.0,my last yr article talibans invaded afghanistan if us hadn left afghanistan russia had never dared at ,1
18,24005.0,the hardest place morgan httpstcomwatpg3jb4 war military ad amazon ,1
19,32510.0,where peacemakers antiwarcom antiwarnews ukraine somalia libya iraq afghanistan ,1
20,11001.0,we urge biden administration congress establish new pathways resettle growing number refugees ,1
21,17031.0,the muslims not surrender likes america saudi amp uae western criminal policies freepalestine ,1
22,25027.0,join movement afghanssupportgirlseducation we also support ,1
23,51013.0,best practice effective assistance afghanistan in short united states should make strategic carefull ,1
24,48279.0,people seem only care about truth justice concerns them what selfish immoral beings humans ,1
25,39093.0,if putinswar becomes wwiii battle lines drawn theworld against russia russia amp china russi ,1
26,34021.0,join opening ceremony event afghanistan policy lab april 14 430 pm et ,1
27,6075.0,trigger warning politics occurred me ukraine needs deadlier american weapons one opti ,1
28,39093.0,who us allies afghanistan afghanresistance the taliban the russians the chinese httpstcownarxipaje s ,1
29,51013.0,best practice effective assistance afghanistan adapt evolving situation ground one si ,1
30,11001.0,iran policies against afghanrefugees pose severe risk rights amp security millions afghans have httpstcopov3iup4ri s ,1
31,48333.0,can someone provide assurance these religious leaders afghanistan vow open girls schools no ,1
32,11001.0,afghan girls protest kabul right education httpstcobvrszkq3vl afghanistan ,1
33,6059.0,bill barr sounds alarm media corruption | brian kilmeade show great interview touches barackobama li httpstco721zdbvnyb s ,1
34,36055.0,historians puzzle mosul iraq kunduz afghanistan cities 7 million were flatted twice th ,1
35,51013.0,best practice effective assistance afghanistan thirdparty monitors necessary us government ,1
36,36061.0,from afghanistan clerics call taliban reopen girls schools says no legal justification banning girls ,1
37,53033.0,thank those donated trusted foundation task it honor i humbled par ,1
