Party,Text
Republic,"['thank', 'you']"
Democrat,"['thank', 'susan', 'well', 'american', 'people', 'witnessed', 'greatest', 'failure', 'presidential', 'administration', 'history', 'country', 'and', 'facts', '210000', 'dead', 'people', 'country', 'just', 'last', 'several', 'months', 'over', '7', 'million', 'people', 'contracted', 'disease', 'one', 'five', 'businesses', 'closed', 'were', 'looking', 'frontline', 'workers', 'treated', 'like', 'sacrificial', 'workers', 'we', 'looking', 'over', '30', 'million', 'people', 'last', 'several', 'months', 'had', 'file', 'unemployment', 'and', 'thing', 'january', '28', 'vice', 'president', 'president', 'were', 'informed', 'about', 'nature', 'pandemic', 'they', 'were', 'informed', 'lethal', 'consequence', 'airborne', 'affect', 'young', 'people', 'would', 'contracted', 'because', 'airborne', 'and', 'knew', 'happening', 'didnt', 'tell', 'you', 'can', 'imagine', 'if', 'knew', 'january', '28', 'opposed', 'march', '13', 'knew', 'might', 'done', 'prepare', 'they', 'knew', 'covered', 'up', 'the', 'president', 'said', 'hoax', 'they', 'minimized', 'seriousness', 'it', 'the', 'president', 'said', 'youre', 'one', 'side', 'ledger', 'if', 'wear', 'mask', 'youre', 'other', 'side', 'ledger', 'if', 'dont', 'and', 'spite', 'today', 'still', 'dont', 'plan', 'they', 'still', 'dont', 'plan', 'well', 'joe', 'biden', 'does', 'and', 'plan', 'about', 'we', 'need', 'do', 'around', 'national', 'strategy', 'contact', 'tracing', 'testing', 'administration', 'vaccine', 'making', 'sure', 'free', 'all', 'that', 'plan', 'joe', 'biden', 'has', 'i', 'knowing', 'we', 'get', 'hold', 'has', 'going', 'we', 'need', 'save', 'country', 'and', 'joe', 'biden', 'best', 'leader', 'do', 'frankly', 'administration', 'has', 'forfeited', 'right', 'reelection', 'based', 'this', 's', 's']"
Republic,"['susan', 'thank', 'you', 'and', 'i', 'want', 'thank', 'commission', 'university', 'utah', 'hosting', 'event', 'and', 'senator', 'harris', 'privilege', 'stage', 'you', 'our', 'nation', 'has', 'gone', 'through', 'very', 'challenging', 'time', 'year', 'but', 'i', 'want', 'american', 'people', 'know', 'very', 'first', 'day', 'president', 'donald', 'trump', 'has', 'put', 'health', 'americans', 'first', 'before', 'were', 'more', 'than', 'five', 'cases', 'united', 'states', 'people', 'had', 'returned', 'china', 'president', 'donald', 'trump', 'did', 'no', 'other', 'american', 'president', 'had', 'ever', 'done', 'and', 'suspended', 'travel', 'china', 'second', 'largest', 'economy', 'world', 'now', 'senator', 'joe', 'biden', 'biden', 'opposed', 'decision', 'he', 'said', 'xenophobic', 'hysterical', 'i', 'can', 'tell', 'having', 'led', 'white', 'house', 'coronavirus', 'task', 'force', 'decision', 'alone', 'president', 'trump', 'bought', 'invaluable', 'time', 'stand', 'up', 'greatest', 'national', 'mobilization', 'since', 'world', 'war', 'ii', 'and', 'i', 'believe', 'saved', 'hundreds', 'thousands', 'american', 'lives', 'because', 'time', 'we', 'were', 'able', 'reinvent', 'testing', 'more', 'than', '115', 'million', 'tests', 'done', 'date', 'we', 'were', 'able', 'see', 'delivery', 'billions', 'supplies', 'so', 'doctors', 'nurses', 'had', 'resources', 'support', 'needed', 'and', 'we', 'began', 'really', 'before', 'month', 'february', 'hard', 'develop', 'vaccine', 'develop', 'medicines', 'therapeutics', 'thatve', 'saving', 'lives', 'along', 'way', 'and', 'under', 'president', 'trump', 'leadership', 'operation', 'warp', 'speed', 'we', 'believe', 'literally', '10s', 'millions', 'doses', 'vaccine', 'before', 'end', 'year', 'the', 'reality', 'look', 'biden', 'plan', 'reads', 'awful', 'lot', 'like', 'president', 'trump', 'i', 'task', 'force', 'doing', 'every', 'step', 'way', 'and', 'quite', 'frankly', 'i', 'look', 'plan', 'talks', 'about', 'advancing', 'testing', 'creating', 'new', 'ppe', 'developing', 'vaccine', 'umm', 'looks', 'little', 'bit', 'like', 'plagiarism', 'something', 'joe', 'biden', 'knows', 'little', 'bit', 'about', 'i', 'think', 'american', 'people', 'know', 'president', 'has', 'put', 'health', 'america', 'first', 'american', 'people', 'i', 'believe', 'heart', 'can', 'proud', 'sacrifices', 'made', 'it', 'saved', 'countless', 'american', 'lives', 's', 's', 's', 's']"
Democrat,"['oh', 'absolutely', 'whatever', 'vice', 'preident', 'claiming', 'administration', 'has', 'done', 'clearly', 'hasnt', 'worked', 'youre', 'looking', 'over', '210000', 'dead', 'bodies', 'country', 'american', 'lives', 'lost', 'families', 'grieving', 'loss', 'and', 'know', 'vice', 'president', 'head', 'task', 'force', 'knew', 'january', '28', 'serious', 'was', 'and', 'then', 'big', 'thanks', 'bob', 'woodward', 'we', 'learned', 'knew', 'about', 'it', 'and', 'then', 'exposed', 'vice', 'president', 'said', 'asked', 'well', 'didnt', 'yall', 'tell', 'anybody', 'said', 'because', 'president', 'wanted', 'people', 'remain', 'calm', 's']"
Democrat,"['no', 'i', '–', 'susan', 'i', '–', 'this', 'important', '–']"
Republic,"['susan', 'i', 'weigh', '–']"
Democrat,"['mr', 'vice', 'president', 'im', 'speaking']"
Republic,"['i', 'weigh', '–']"
Democrat,"['im', 'speaking', 'i', 'wanna', '–']"
Democrat,"['thank', 'you', 'so', 'i', 'want', 'ask', 'american', 'people', 'calm', 'were', 'were', 'panicked', 'about', 'youre', 'going', 'get', 'next', 'roll', 'toilet', 'paper', 'how', 'calm', 'were', 'kids', 'were', 'sent', 'home', 'school', 'didnt', 'know', 'could', 'go', 'back']"
