Time,Text,City,County,State
2022-04-09 10:30:00+00:00,"b'Happy Birthday to #Michigan Legend, Mike Hart! @MHart2032 #GoBlue https://t.co/iB14HABTks'",,,
2022-04-09 10:27:50+00:00,b'RT @Willi_H2O: THIS is what we are stuck with for a \nlong long while because of apathy.\nAT WHAT POINT : - Does it get re-designed ?\nBand ai\xe2\x80\xa6',,,Michigan
2022-04-09 10:27:01+00:00,b'RT @Willi_H2O: #GLWA is giving #FLINT drinking water under contract - as GLWA now pays (via bond ownership) - the #Karegnondi Pipeline.\nFol\xe2\x80\xa6',,,Michigan
2022-04-09 10:26:08+00:00,"b'5,316 Yds 43 TD Stephen A. destroys Bruce Arians: ""Shut up bro! 227\'s YouTube Chili\' Tom Chili\' Brady #GoBucs\xe2\x80\xa6 https://t.co/03GNAQx5dG'",Boise,,Idaho
2022-04-09 10:25:17+00:00,b'RT @Gloriousb0wser: Why is it snowing in Michigan? #Michigan #snow #KOOPATROOP #smallstreamer https://t.co/EMCkc9yxow',,,
2022-04-09 10:24:20+00:00,b'@detroitnews Michigan is Trump/James! #Michigan #MAGA https://t.co/5dYOPjpWHZ',,,
2022-04-09 10:23:29+00:00,b'Why is it snowing in Michigan? #Michigan #snow #KOOPATROOP #smallstreamer https://t.co/EMCkc9yxow',,,
2022-04-09 10:21:46+00:00,"b'RT @LawyerSays1: I am an attorney so I believe in the justice system, but #wtf are we coming to when you can plot to kidnap and kill a sitt\xe2\x80\xa6'",Irwin,,Pennsylvania
2022-04-09 10:21:40+00:00,b'RT @jkesister: THIS just tells me #Michigan is a real scary place to live nowadays.\n\n2 defendants acquitted in Michigan governor kidnapping\xe2\x80\xa6',Irwin,,Pennsylvania
2022-04-09 10:21:31+00:00,"b'RT @ChristyTV: Happy spring sports, #michigan parents.  And when I say spring, I mean down parkas, heated gloves &amp; blankets \xf0\x9f\xa5\xb6 #baseballmom\xe2\x80\xa6'",Irwin,,Pennsylvania
2022-04-09 10:12:51+00:00,b'RT @MichiganClock: Ohio State has not beaten Michigan in football for 860 days.  #GoBlue #Michigan #BeatOhio',,,
2022-04-09 10:09:16+00:00,b'Join us starting Monday for a golden egg hunt! There will be 4 golden eggs hidden throughout the community with a p\xe2\x80\xa6 https://t.co/8LnIUvBdh2',Farmington Hills,,Michigan
2022-04-09 10:09:12+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",,,
2022-04-09 10:07:00+00:00,"b'RT @AdrblyFerocious: Jury acquits two men in Michigan governor kidnapping case, deadlocks on charge for two others.\n\n#Michigan\n#WTP_Of_TGCA\xe2\x80\xa6'",,,
2022-04-09 10:06:00+00:00,b'GOOD NEWS for online poker players. Interstate compact expanded to include Michigan. Complete details:\xe2\x80\xa6 https://t.co/USCYDvIpMN',Las Vegas,,Nevada
2022-04-09 10:04:23+00:00,"b'Ever pulled a report of the #WATER \n(stormwater, drain, channel, creek, river) \nnear your Property, Real Estate, Bu\xe2\x80\xa6 https://t.co/DuFJtq3zuG'",Warren,Macomb County,Michigan
2022-04-09 09:58:00+00:00,"b'So Ed Calkins, Steward of Tara, is still insisting that Munsonville, Munsonville in the BryonySeries is, if not a r\xe2\x80\xa6 https://t.co/zx62zAeOtw'",,,
2022-04-09 09:56:00+00:00,b'Why us and not Lightlab from Orange Photonics?\n\nRead more https://t.co/8nEgG5MVSU\n\n#cbdproducts #california\xe2\x80\xa6 https://t.co/cSarT2toLI',,,
2022-04-09 09:48:32+00:00,"b'#Offline \nWhat we take from our day, is a precious gift. It shows us the way.\n\n#MyPhoto\n#NatureBeauty\n#Michigan https://t.co/ZLY7IZhBZv'",,,Michigan
2022-04-09 09:45:02+00:00,"b'#Massa #Michigan #Texas, Check out our #blog post on #FixedOperations - Appearance matters - The condition of your\xe2\x80\xa6 https://t.co/tSBw0tjTRa'",,,
2022-04-09 09:42:03+00:00,b'How many towns are within 45 miles (72.41 km)  of #Escanaba #Michigan  #UnitedStates? Showing 17 examples. Do you k\xe2\x80\xa6 https://t.co/L4x9IOMv5Y',,,
2022-04-09 09:40:04+00:00,"b'RT @indianmotivati1: In a Michigan County, Stimulus Funds Are Remaking Public Health Programs #County #Funds #health #HealthNews #Michigan\xe2\x80\xa6'",,,
2022-04-09 09:39:39+00:00,"b'In a Michigan County, Stimulus Funds Are Remaking Public Health Programs #County #Funds #health #HealthNews\xe2\x80\xa6 https://t.co/YpNrvEAzMI'",,,
2022-04-09 09:38:40+00:00,b'#MarsHillBlog Post On the collapse of the case against those accused of plotting to kidnap the Michigan Governor\xe2\x80\xa6 https://t.co/96vuBhCp3h',,,
2022-04-09 09:38:32+00:00,b'Start your Weekend with these exciting events ---For more events and offerings follow @FindMagicPeople\xe2\x80\xa6 https://t.co/ZSdIRQ2Oy1',,,Michigan
2022-04-09 09:26:43+00:00,b'RT @982Lucky: A black teen girl has  been lynched at lake #Michigan\n#TaleahLowe  18 years old  \n\n#BlackLivesMatter #BlackTwitter #BLM https\xe2\x80\xa6',England,,
2022-04-09 09:23:44+00:00,b'#GLWA is giving #FLINT drinking water under contract - as GLWA now pays (via bond ownership) - the #Karegnondi Pipe\xe2\x80\xa6 https://t.co/NWN7WFL35n',Warren,Macomb County,Michigan
2022-04-09 09:22:30+00:00,"b'RT @PhotographyET: ""Riding Into the Light"", #railroad art by ET Photography\n\nI captured this image in #Michigan.  \n\nhttps://t.co/Zsa46S1KyU\xe2\x80\xa6'",Belmar,,New Jersey
2022-04-09 09:21:34+00:00,b'@carolmkik @PeachyKeenBean7 @Laurakmonty @EvanRennerWorth @akkie42 @StacyMichelleB @HiddlesDoctor @Anihelen\xe2\x80\xa6 https://t.co/Lewhyb0JbE',,,Michigan
2022-04-09 09:15:37+00:00,b'@carolmkik @PeachyKeenBean7 @Laurakmonty @EvanRennerWorth @akkie42 @StacyMichelleB @HiddlesDoctor @Anihelen\xe2\x80\xa6 https://t.co/nDBo53oWpn',,,Michigan
2022-04-09 09:05:00+00:00,b'Do your own testing to optimize CBD extraction. \nReach out to learn more.\n#test #testprep #technology #cannabis\xe2\x80\xa6 https://t.co/yoeRPSuRst',,,
2022-04-09 09:04:04+00:00,"b'In a #Michigan County, Stimulus Funds Are Remaking Public Health Programs https://t.co/oIZqqP1EcH https://t.co/g9e8wZxd9c'",,,
